"","d","theta","rho","offsets","logsdcounty","logsdyears","gridlikelihood"
"1",10,0.5,0,0.01,-1,-4,1456.11511584007
"2",35,0.5,0,0.01,-1,-4,1456.11651886806
"3",60,0.5,0,0.01,-1,-4,1456.11651887327
"4",85,0.5,0,0.01,-1,-4,1456.11651887327
"5",110,0.5,0,0.01,-1,-4,1456.11651887327
"6",135,0.5,0,0.01,-1,-4,1456.11651887327
"7",160,0.5,0,0.01,-1,-4,1456.11651887327
"8",10,0.75,0,0.01,-1,-4,1456.1164856889
"9",35,0.75,0,0.01,-1,-4,1456.11651887327
"10",60,0.75,0,0.01,-1,-4,1456.11651887327
"11",85,0.75,0,0.01,-1,-4,1456.11651887327
"12",110,0.75,0,0.01,-1,-4,1456.11651887327
"13",135,0.75,0,0.01,-1,-4,1456.11651887327
"14",160,0.75,0,0.01,-1,-4,1456.11651887327
"15",10,1,0,0.01,-1,-4,1456.11651816392
"16",35,1,0,0.01,-1,-4,1456.11651887327
"17",60,1,0,0.01,-1,-4,1456.11651887327
"18",85,1,0,0.01,-1,-4,1456.11651887327
"19",110,1,0,0.01,-1,-4,1456.11651887327
"20",135,1,0,0.01,-1,-4,1456.11651887327
"21",160,1,0,0.01,-1,-4,1456.11651887327
"22",10,1.25,0,0.01,-1,-4,1456.11651885888
"23",35,1.25,0,0.01,-1,-4,1456.11651887327
"24",60,1.25,0,0.01,-1,-4,1456.11651887327
"25",85,1.25,0,0.01,-1,-4,1456.11651887327
"26",110,1.25,0,0.01,-1,-4,1456.11651887327
"27",135,1.25,0,0.01,-1,-4,1456.11651887327
"28",160,1.25,0,0.01,-1,-4,1456.11651887327
"29",10,1.5,0,0.01,-1,-4,1456.116518873
"30",35,1.5,0,0.01,-1,-4,1456.11651887327
"31",60,1.5,0,0.01,-1,-4,1456.11651887327
"32",85,1.5,0,0.01,-1,-4,1456.11651887327
"33",110,1.5,0,0.01,-1,-4,1456.11651887327
"34",135,1.5,0,0.01,-1,-4,1456.11651887327
"35",160,1.5,0,0.01,-1,-4,1456.11651887327
"36",10,1.75,0,0.01,-1,-4,1456.11651887326
"37",35,1.75,0,0.01,-1,-4,1456.11651887327
"38",60,1.75,0,0.01,-1,-4,1456.11651887327
"39",85,1.75,0,0.01,-1,-4,1456.11651887327
"40",110,1.75,0,0.01,-1,-4,1456.11651887327
"41",135,1.75,0,0.01,-1,-4,1456.11651887327
"42",160,1.75,0,0.01,-1,-4,1456.11651887327
"43",10,2,0,0.01,-1,-4,1456.11651887327
"44",35,2,0,0.01,-1,-4,1456.11651887327
"45",60,2,0,0.01,-1,-4,1456.11651887327
"46",85,2,0,0.01,-1,-4,1456.11651887327
"47",110,2,0,0.01,-1,-4,1456.11651887327
"48",135,2,0,0.01,-1,-4,1456.11651887327
"49",160,2,0,0.01,-1,-4,1456.11651887327
"50",10,2.25,0,0.01,-1,-4,1456.11651887327
"51",35,2.25,0,0.01,-1,-4,1456.11651887327
"52",60,2.25,0,0.01,-1,-4,1456.11651887327
"53",85,2.25,0,0.01,-1,-4,1456.11651887327
"54",110,2.25,0,0.01,-1,-4,1456.11651887327
"55",135,2.25,0,0.01,-1,-4,1456.11651887327
"56",160,2.25,0,0.01,-1,-4,1456.11651887327
"57",10,2.5,0,0.01,-1,-4,1456.11651887327
"58",35,2.5,0,0.01,-1,-4,1456.11651887327
"59",60,2.5,0,0.01,-1,-4,1456.11651887327
"60",85,2.5,0,0.01,-1,-4,1456.11651887327
"61",110,2.5,0,0.01,-1,-4,1456.11651887327
"62",135,2.5,0,0.01,-1,-4,1456.11651887327
"63",160,2.5,0,0.01,-1,-4,1456.11651887327
"64",10,0.5,0.25,0.01,-1,-4,1454.4103330007
"65",35,0.5,0.25,0.01,-1,-4,1454.41157897654
"66",60,0.5,0.25,0.01,-1,-4,1454.41157898119
"67",85,0.5,0.25,0.01,-1,-4,1454.41157898119
"68",110,0.5,0.25,0.01,-1,-4,1454.41157898119
"69",135,0.5,0.25,0.01,-1,-4,1454.41157898119
"70",160,0.5,0.25,0.01,-1,-4,1454.41157898119
"71",10,0.75,0.25,0.01,-1,-4,1454.41154951109
"72",35,0.75,0.25,0.01,-1,-4,1454.41157898119
"73",60,0.75,0.25,0.01,-1,-4,1454.41157898119
"74",85,0.75,0.25,0.01,-1,-4,1454.41157898119
"75",110,0.75,0.25,0.01,-1,-4,1454.41157898119
"76",135,0.75,0.25,0.01,-1,-4,1454.41157898119
"77",160,0.75,0.25,0.01,-1,-4,1454.41157898119
"78",10,1,0.25,0.01,-1,-4,1454.41157835121
"79",35,1,0.25,0.01,-1,-4,1454.41157898119
"80",60,1,0.25,0.01,-1,-4,1454.41157898119
"81",85,1,0.25,0.01,-1,-4,1454.41157898119
"82",110,1,0.25,0.01,-1,-4,1454.41157898119
"83",135,1,0.25,0.01,-1,-4,1454.41157898119
"84",160,1,0.25,0.01,-1,-4,1454.41157898119
"85",10,1.25,0.25,0.01,-1,-4,1454.41157896838
"86",35,1.25,0.25,0.01,-1,-4,1454.41157898119
"87",60,1.25,0.25,0.01,-1,-4,1454.41157898119
"88",85,1.25,0.25,0.01,-1,-4,1454.41157898119
"89",110,1.25,0.25,0.01,-1,-4,1454.41157898119
"90",135,1.25,0.25,0.01,-1,-4,1454.41157898119
"91",160,1.25,0.25,0.01,-1,-4,1454.41157898119
"92",10,1.5,0.25,0.01,-1,-4,1454.41157898094
"93",35,1.5,0.25,0.01,-1,-4,1454.41157898119
"94",60,1.5,0.25,0.01,-1,-4,1454.41157898119
"95",85,1.5,0.25,0.01,-1,-4,1454.41157898119
"96",110,1.5,0.25,0.01,-1,-4,1454.41157898119
"97",135,1.5,0.25,0.01,-1,-4,1454.41157898119
"98",160,1.5,0.25,0.01,-1,-4,1454.41157898119
"99",10,1.75,0.25,0.01,-1,-4,1454.41157898119
"100",35,1.75,0.25,0.01,-1,-4,1454.41157898119
"101",60,1.75,0.25,0.01,-1,-4,1454.41157898119
"102",85,1.75,0.25,0.01,-1,-4,1454.41157898119
"103",110,1.75,0.25,0.01,-1,-4,1454.41157898119
"104",135,1.75,0.25,0.01,-1,-4,1454.41157898119
"105",160,1.75,0.25,0.01,-1,-4,1454.41157898119
"106",10,2,0.25,0.01,-1,-4,1454.41157898119
"107",35,2,0.25,0.01,-1,-4,1454.41157898119
"108",60,2,0.25,0.01,-1,-4,1454.41157898119
"109",85,2,0.25,0.01,-1,-4,1454.41157898119
"110",110,2,0.25,0.01,-1,-4,1454.41157898119
"111",135,2,0.25,0.01,-1,-4,1454.41157898119
"112",160,2,0.25,0.01,-1,-4,1454.41157898119
"113",10,2.25,0.25,0.01,-1,-4,1454.41157898119
"114",35,2.25,0.25,0.01,-1,-4,1454.41157898119
"115",60,2.25,0.25,0.01,-1,-4,1454.41157898119
"116",85,2.25,0.25,0.01,-1,-4,1454.41157898119
"117",110,2.25,0.25,0.01,-1,-4,1454.41157898119
"118",135,2.25,0.25,0.01,-1,-4,1454.41157898119
"119",160,2.25,0.25,0.01,-1,-4,1454.41157898119
"120",10,2.5,0.25,0.01,-1,-4,1454.41157898119
"121",35,2.5,0.25,0.01,-1,-4,1454.41157898119
"122",60,2.5,0.25,0.01,-1,-4,1454.41157898119
"123",85,2.5,0.25,0.01,-1,-4,1454.41157898119
"124",110,2.5,0.25,0.01,-1,-4,1454.41157898119
"125",135,2.5,0.25,0.01,-1,-4,1454.41157898119
"126",160,2.5,0.25,0.01,-1,-4,1454.41157898119
"127",10,0.5,0.5,0.01,-1,-4,1452.77308799349
"128",35,0.5,0.5,0.01,-1,-4,1452.77417752783
"129",60,0.5,0.5,0.01,-1,-4,1452.77417753187
"130",85,0.5,0.5,0.01,-1,-4,1452.77417753187
"131",110,0.5,0.5,0.01,-1,-4,1452.77417753187
"132",135,0.5,0.5,0.01,-1,-4,1452.77417753187
"133",160,0.5,0.5,0.01,-1,-4,1452.77417753187
"134",10,0.75,0.5,0.01,-1,-4,1452.77415176171
"135",35,0.75,0.5,0.01,-1,-4,1452.77417753187
"136",60,0.75,0.5,0.01,-1,-4,1452.77417753187
"137",85,0.75,0.5,0.01,-1,-4,1452.77417753187
"138",110,0.75,0.5,0.01,-1,-4,1452.77417753187
"139",135,0.75,0.5,0.01,-1,-4,1452.77417753187
"140",160,0.75,0.5,0.01,-1,-4,1452.77417753187
"141",10,1,0.5,0.01,-1,-4,1452.774176981
"142",35,1,0.5,0.01,-1,-4,1452.77417753187
"143",60,1,0.5,0.01,-1,-4,1452.77417753187
"144",85,1,0.5,0.01,-1,-4,1452.77417753187
"145",110,1,0.5,0.01,-1,-4,1452.77417753187
"146",135,1,0.5,0.01,-1,-4,1452.77417753187
"147",160,1,0.5,0.01,-1,-4,1452.77417753187
"148",10,1.25,0.5,0.01,-1,-4,1452.77417752069
