"","county","year","foi","incidence","previousyear","bernie","yrofinf"
"1","Clearfield-Pennsylvania","2007",0.0352069601478613,0,0,1,2007
"2","Hants-Nova Scotia","2007",0.04376879974941,0,0,1,2007
"3","Hastings-Ontario","2007",0.0561324581139114,0,0,1,2007
"4","Lackawanna-Pennsylvania","2007",0.0659622911061866,0,0,1,2007
"5","Les Collines-De-L'Outaouais-Quebec","2007",0.0674651818908582,0,0,1,2007
"6","Monroe-Pennsylvania","2007",0.0654674977397738,0,0,1,2007
"7","Monroe-West Virginia","2007",0.0124530275796254,0,0,1,2007
"8","Morris-New Jersey","2007",0.0716584910030794,0,0,1,2007
"9","Newport-Rhode Island","2007",0.0917619730894049,0,0,1,2007
"10","Nord-Du-Quebec (Part 2 Of)-Quebec","2007",0.0515440621942497,0,0,1,2007
"11","Piscataquis-Maine","2007",0.0686768431515995,0,0,1,2007
"12","Suffolk-New York","2007",0.0846642049265253,0,0,1,2007
"13","Westmoreland-Pennsylvania","2007",0.025619520465872,0,0,1,2007
"14","Beaver-Pennsylvania","2008",0.0724400636788003,0,0,1,2008
"15","Calhoun-Alabama","2008",0.0142043619821382,0,0,1,2008
"16","Clinton-New York","2008",0.18731710566309,1,0,1,2008
"17","Erie-New York","2008",0.109247299988357,0,0,1,2008
"18","Fairfield-Connecticut","2008",0.542189981858514,0,0,1,2008
"19","Fulton-Pennsylvania","2008",0.0978573974710032,0,0,1,2008
"20","Gaston-North Carolina","2008",0.0379559532760188,0,0,1,2008
"21","Grant-Wisconsin","2008",0.011801787855624,0,0,1,2008
"22","Haliburton-Ontario","2008",0.116952684258313,0,0,1,2008
"23","Halton Regional Municipality-Ontario","2008",0.0929776867789821,0,0,1,2008
"24","Hancock-Tennessee","2008",0.0294113660753449,0,0,1,2008
"25","Jefferson-Pennsylvania","2008",0.0938652661015427,0,0,1,2008
"26","L'Érable-Quebec","2008",0.16802996435777,0,0,1,2008
"27","La Côte-De-Gaspé-Quebec","2008",0.146893864639941,0,0,1,2008
"28","La Jacques-Cartier (Part 1 Of)-Quebec","2008",0.152645450036827,0,0,1,2008
"29","Luzerne-Pennsylvania","2008",0.144830948280119,1,0,1,2008
"30","Madawaska-New Brunswick","2008",0.125912946564759,0,0,1,2008
"31","Mekinac (Part 1 Of)-Quebec","2008",0.160241710049078,0,0,1,2008
"32","MemphrÃ©magog-Quebec","2008",0.189672083039789,0,0,1,2008
"33","Northumberland-Pennsylvania","2008",0.131905918272132,0,0,1,2008
"34","Preston-West Virginia","2008",0.0739103464995895,0,0,1,2008
"35","Queens-New Brunswick","2008",0.107091429320162,0,0,1,2008
"36","Rowan-North Carolina","2008",0.044399399243994,0,0,1,2008
"37","Saint John-New Brunswick","2008",0.120212662693197,0,0,1,2008
"38","Simcoe-Ontario","2008",0.0977811758791139,0,0,1,2008
"39","Smyth-Virginia","2008",0.0391145005483965,1,0,1,2008
"40","Thunder Bay District (Part 3 Of)-Ontario","2008",0.0252280607397792,0,0,1,2008
"41","Windham-Vermont","2008",0.210450423826138,1,0,1,2008
"42","Blair-Pennsylvania","2009",0.206675452723376,1,0,1,2009
"43","Botetourt-Virginia","2009",0.150366240777873,0,0,1,2009
"44","Bruce-Ontario","2009",0.163251328852628,0,0,1,2009
"45","Bucks-Pennsylvania","2009",0.273221703680151,1,0,1,2009
"46","Calumet-Wisconsin","2009",0.0536857976261544,0,0,1,2009
"47","Carter-Tennessee","2009",0.0902067135137805,1,0,1,2009
"48","Cattaraugus-New York","2009",0.217873052020485,0,0,1,2009
"49","Centre-Pennsylvania","2009",0.224089579860889,1,1,1,2009
"50","Chattooga-Georgia","2009",0.0457767136981581,0,0,1,2009
"51","Cumberland-Nova Scotia","2009",0.139544687197373,0,0,1,2009
"52","DeKalb-Alabama","2009",0.0426860717302729,0,0,1,2009
"53","Dufferin-Ontario","2009",0.187312899436565,0,0,1,2009
"54","Fayette-Pennsylvania","2009",0.171389279194008,1,0,1,2009
"55","Franklin-New York","2009",0.291043305787309,1,1,1,2009
"56","Frederick-Virginia","2009",0.199108982870795,0,0,1,2009
"57","Grafton-New Hampshire","2009",0.300406197497177,1,1,1,2009
"58","Greenbrier-West Virginia","2009",0.138720395267778,1,0,1,2009
"59","Grey-Ontario","2009",0.169869840270903,1,0,1,2009
"60","Hamilton-New York","2009",0.300339150974811,1,1,1,2009
"61","Hartford-Connecticut","2009",0.311755602941239,1,1,1,2009
"62","Highland-Virginia","2009",0.159749566586877,1,0,1,2009
"63","Kings-New Brunswick","2009",0.166098629387532,0,0,1,2009
"64","Lancaster-South Carolina","2009",0.0984651075741945,0,0,1,2009
"65","Lauderdale-Alabama","2009",0.0342319349934726,0,0,1,2009
"66","Le Granit-Quebec","2009",0.26320702575782,0,0,1,2009
"67","Manitowoc-Wisconsin","2009",0.0576557448984348,0,0,1,2009
"68","Merrimack-New Hampshire","2009",0.306351853150593,1,1,1,2009
"69","Mifflin-Pennsylvania","2009",0.225721761321896,1,1,1,2009
"70","New London-Connecticut","2009",0.315986553797327,0,0,1,2009
"71","Nord-Du-Quebec (Part 1 Of)-Quebec","2009",0.203751128396816,0,0,1,2009
"72","Oxford-Maine","2009",0.285664201198162,0,0,1,2009
"73","Pike-Illinois","2009",0.0322198797665999,0,0,1,2009
"74","Queens-Prince Edward","2009",0.121738796998817,0,0,1,2009
"75","Sauk-Wisconsin","2009",0.039665070618422,0,0,1,2009
"76","Schuylkill-Pennsylvania","2009",0.258871955896329,1,0,1,2009
"77","Somerset-Pennsylvania","2009",0.190317839251663,0,0,1,2009
"78","Sullivan-Pennsylvania","2009",0.261072422140097,1,0,1,2009
"79","Van Buren-Tennessee","2009",0.0491365807730804,0,0,1,2009
"80","Victoria-New Brunswick","2009",0.178539331417892,0,0,1,2009
"81","Warren-Kentucky","2009",0.0472679514607524,0,0,1,2009
"82","Whitley-Kentucky","2009",0.0680306884732381,0,0,1,2009
"83","Windsor-Vermont","2009",0.309736996780636,1,1,1,2009
"84","Winston-Mississippi","2009",0.0274305070372978,0,0,1,2009
"85","York-Pennsylvania","2009",0.241224441029162,0,0,1,2009
"86","Algoma Dist. (Part 1 Of)-Ontario","2010",0.177112017189146,1,0,1,2010
"87","Alpena-Michigan","2010",0.201518657628752,0,0,1,2010
