County	State province	Country
Fairfield	Connecticut	USA
Hartford	Connecticut	USA
Litchfield	Connecticut	USA
Middlesex	Connecticut	USA
New Haven	Connecticut	USA
New London	Connecticut	USA
Tolland	Connecticut	USA
Windham	Connecticut	USA
Kent	Delaware	USA
New Castle	Delaware	USA
Sussex	Delaware	USA
Adams	Illinois	USA
Alexander	Illinois	USA
Bond	Illinois	USA
Boone	Illinois	USA
Brown	Illinois	USA
Bureau	Illinois	USA
Calhoun	Illinois	USA
Carroll	Illinois	USA
Cass	Illinois	USA
Champaign	Illinois	USA
Christian	Illinois	USA
Clark	Illinois	USA
Clay	Illinois	USA
Clinton	Illinois	USA
Coles	Illinois	USA
Cook	Illinois	USA
Crawford	Illinois	USA
Cumberland	Illinois	USA
DeKalb	Illinois	USA
De Witt	Illinois	USA
Douglas	Illinois	USA
DuPage	Illinois	USA
Edgar	Illinois	USA
Edwards	Illinois	USA
Effingham	Illinois	USA
Fayette	Illinois	USA
Ford	Illinois	USA
Franklin	Illinois	USA
Fulton	Illinois	USA
Gallatin	Illinois	USA
Greene	Illinois	USA
Grundy	Illinois	USA
Hamilton	Illinois	USA
Hancock	Illinois	USA
Hardin	Illinois	USA
Henderson	Illinois	USA
Henry	Illinois	USA
Iroquois	Illinois	USA
Jackson	Illinois	USA
Jasper	Illinois	USA
Jefferson	Illinois	USA
Jersey	Illinois	USA
Jo Daviess	Illinois	USA
Johnson	Illinois	USA
Kane	Illinois	USA
Kankakee	Illinois	USA
Kendall	Illinois	USA
Knox	Illinois	USA
Lake	Illinois	USA
LaSalle	Illinois	USA
Lawrence	Illinois	USA
Lee	Illinois	USA
Livingston	Illinois	USA
Logan	Illinois	USA
McDonough	Illinois	USA
McHenry	Illinois	USA
McLean	Illinois	USA
Macon	Illinois	USA
Macoupin	Illinois	USA
Madison	Illinois	USA
Marion	Illinois	USA
Marshall	Illinois	USA
Mason	Illinois	USA
Massac	Illinois	USA
Menard	Illinois	USA
Mercer	Illinois	USA
Monroe	Illinois	USA
Montgomery	Illinois	USA
Morgan	Illinois	USA
Moultrie	Illinois	USA
Ogle	Illinois	USA
Peoria	Illinois	USA
Perry	Illinois	USA
Piatt	Illinois	USA
Pike	Illinois	USA
Pope	Illinois	USA
Pulaski	Illinois	USA
Putnam	Illinois	USA
Randolph	Illinois	USA
Richland	Illinois	USA
Rock Island	Illinois	USA
St. Clair	Illinois	USA
Saline	Illinois	USA
Sangamon	Illinois	USA
Schuyler	Illinois	USA
Scott	Illinois	USA
Shelby	Illinois	USA
Stark	Illinois	USA
Stephenson	Illinois	USA
Tazewell	Illinois	USA
Union	Illinois	USA
Vermilion	Illinois	USA
Wabash	Illinois	USA
Warren	Illinois	USA
Washington	Illinois	USA
Wayne	Illinois	USA
White	Illinois	USA
Whiteside	Illinois	USA
Will	Illinois	USA
Williamson	Illinois	USA
Winnebago	Illinois	USA
Woodford	Illinois	USA
Adams	Indiana	USA
Allen	Indiana	USA
Bartholomew	Indiana	USA
Benton	Indiana	USA
Blackford	Indiana	USA
Boone	Indiana	USA
Brown	Indiana	USA
Carroll	Indiana	USA
Cass	Indiana	USA
Clark	Indiana	USA
Clay	Indiana	USA
Clinton	Indiana	USA
Crawford	Indiana	USA
Daviess	Indiana	USA
Dearborn	Indiana	USA
Decatur	Indiana	USA
DeKalb	Indiana	USA
Delaware	Indiana	USA
Dubois	Indiana	USA
Elkhart	Indiana	USA
Fayette	Indiana	USA
Floyd	Indiana	USA
Fountain	Indiana	USA
