"","GC","lat","long","Date","User","countylist2"
"1","GC6RVQP",47.4528,-87.8617,"2017-09-14","ippleh","michigan,keweenaw"
"2","GC6RVQP",47.4528,-87.8617,"2017-07-05","Team MEMILA","michigan,keweenaw"
"3","GC6RVQP",47.4528,-87.8617,"2017-07-03","gcBrady","michigan,keweenaw"
"4","GC6RVQP",47.4528,-87.8617,"2017-07-03","gcLiam","michigan,keweenaw"
"5","GC6RVQP",47.4528,-87.8617,"2017-07-03","bretina","michigan,keweenaw"
"6","GC6RVQP",47.4528,-87.8617,"2016-11-07","up-north","michigan,keweenaw"
"7","GC6RVQP",47.4528,-87.8617,"2016-10-04","sweetlife","michigan,keweenaw"
"8","GC6RVQP",47.4528,-87.8617,"2016-09-30","DrMushroom","michigan,keweenaw"
"9","GC6RVQP",47.4528,-87.8617,"2016-09-18","Gurnee Glenn","michigan,keweenaw"
"10","GC6RVQP",47.4528,-87.8617,"2016-09-17","Angie_9393","michigan,keweenaw"
"11","GC6RVQP",47.4528,-87.8617,"2016-09-17","scott&phyllis","michigan,keweenaw"
"12","GC6RVQP",47.4528,-87.8617,"2016-09-16","Wandering Tracks","michigan,keweenaw"
"13","GC6RVQP",47.4528,-87.8617,"2016-09-16","glweber","michigan,keweenaw"
"14","GC6RVQP",47.4528,-87.8617,"2016-09-11","-Rusty-","michigan,keweenaw"
"15","GC2J3Y3",40.92443,-75.09105,"2014-10-27","Pirate Wallenpaupack","pennsylvania,northampton"
"16","GC2J3Y3",40.92443,-75.09105,"2011-06-13","Pirate Wallenpaupack","pennsylvania,northampton"
"17","GC2J3Y3",40.92443,-75.09105,"2011-05-08","Misty's Shadow","pennsylvania,northampton"
"18","GC2J3Y3",40.92443,-75.09105,"2011-01-14","Old Navy","pennsylvania,northampton"
"19","GC2J3Y3",40.92443,-75.09105,"2011-01-14","BigA800","pennsylvania,northampton"
"20","GC2J3Y3",40.92443,-75.09105,"2010-12-10","keithj999","pennsylvania,northampton"
"21","GC2J3Y3",40.92443,-75.09105,"2010-11-27","walker22","pennsylvania,northampton"
"22","GC2J3Y3",40.92443,-75.09105,"2010-11-23","Misty's Shadow","pennsylvania,northampton"
"23","GC2J3Y3",40.92443,-75.09105,"2010-11-22","rwjfl","pennsylvania,northampton"
"24","GC2J3Y3",40.92443,-75.09105,"2010-11-20","Stellar Jr.","pennsylvania,northampton"
"25","GC2J3Y3",40.92443,-75.09105,"2010-11-20","Gilwell1","pennsylvania,northampton"
"26","GC2J3Y3",40.92443,-75.09105,"2010-11-20","TheJump","pennsylvania,northampton"
"27","GC2J3Y3",40.92443,-75.09105,"2010-11-20","Shoob&Sheeb","pennsylvania,northampton"
"28","GC2J3Y3",40.92443,-75.09105,"2010-11-20","captainmath","pennsylvania,northampton"
"29","GC2J3Y3",40.92443,-75.09105,"2010-11-20","stellarscapes","pennsylvania,northampton"
"30","GC2J3Y3",40.92443,-75.09105,"2010-11-18","latitude55","pennsylvania,northampton"
"31","GC2J3Y3",40.92443,-75.09105,"2010-11-18","Jasper Ralph 13","pennsylvania,northampton"
"32","GC2J3Y3",40.92443,-75.09105,"2010-11-15","OReviewer","pennsylvania,northampton"
"33","GCXVYE",41.44337,-79.6344,"2007-11-26","Keystone","pennsylvania,venango"
"34","GCXVYE",41.44337,-79.6344,"2007-11-10","Keystone","pennsylvania,venango"
"35","GCXVYE",41.44337,-79.6344,"2007-08-30","glorya","pennsylvania,venango"
"36","GCXVYE",41.44337,-79.6344,"2007-08-11","Grandpa and Grandma","pennsylvania,venango"
"37","GCXVYE",41.44337,-79.6344,"2007-04-29","goldsnoop-","pennsylvania,venango"
"38","GCXVYE",41.44337,-79.6344,"2007-04-29","Tprints","pennsylvania,venango"
"39","GCXVYE",41.44337,-79.6344,"2006-10-29","glorya","pennsylvania,venango"
"40","GCXVYE",41.44337,-79.6344,"2006-10-21","Tprints","pennsylvania,venango"
"41","GCXVYE",41.44337,-79.6344,"2006-09-10","glorya","pennsylvania,venango"
"42","GCXVYE",41.44337,-79.6344,"2006-08-30","OReviewer","pennsylvania,venango"
"43","GC14EX8",41.96233,-72.74548,"2019-11-20","schwandt","connecticut,hartford"
"44","GC14EX8",41.96233,-72.74548,"2019-10-13","gpscouts","connecticut,hartford"
"45","GC14EX8",41.96233,-72.74548,"2018-10-28","Tipsy_1","connecticut,hartford"
"46","GC14EX8",41.96233,-72.74548,"2018-07-21","outsiders2","connecticut,hartford"
"47","GC14EX8",41.96233,-72.74548,"2018-07-21","Bkitty","connecticut,hartford"
"48","GC14EX8",41.96233,-72.74548,"2018-06-09","DizJohn","connecticut,hartford"
"49","GC14EX8",41.96233,-72.74548,"2017-11-25","Capt. Bob","connecticut,hartford"
"50","GC14EX8",41.96233,-72.74548,"2017-01-11","geo.duck","connecticut,hartford"
"51","GC14EX8",41.96233,-72.74548,"2015-10-23","Spatial Distortion","connecticut,hartford"
"52","GC14EX8",41.96233,-72.74548,"2015-09-07","sujayne","connecticut,hartford"
"53","GC14EX8",41.96233,-72.74548,"2015-08-15","Geo-mule","connecticut,hartford"
"54","GC14EX8",41.96233,-72.74548,"2013-11-14","foxtrott871","connecticut,hartford"
"55","GC14EX8",41.96233,-72.74548,"2012-06-15","Gilwell1","connecticut,hartford"
"56","GC14EX8",41.96233,-72.74548,"2012-05-19","out12","connecticut,hartford"
"57","GC14EX8",41.96233,-72.74548,"2012-02-09","BGunnells","connecticut,hartford"
"58","GC14EX8",41.96233,-72.74548,"2009-08-16","carels","connecticut,hartford"
"59","GC14EX8",41.96233,-72.74548,"2009-07-05","Mr Echo","connecticut,hartford"
"60","GC14EX8",41.96233,-72.74548,"2009-05-29","mc97","connecticut,hartford"
"61","GC14EX8",41.96233,-72.74548,"2009-05-27","mc97","connecticut,hartford"
"62","GC14EX8",41.96233,-72.74548,"2008-10-16","KDubs","connecticut,hartford"
"63","GC14EX8",41.96233,-72.74548,"2008-05-16","Firefighter Skippy","connecticut,hartford"
"64","GC14EX8",41.96233,-72.74548,"2008-05-10","Tuckerman6288","connecticut,hartford"
"65","GC14EX8",41.96233,-72.74548,"2007-10-25","j2brew","connecticut,hartford"
"66","GC14EX8",41.96233,-72.74548,"2007-09-29","geosliders","connecticut,hartford"
"67","GC14EX8",41.96233,-72.74548,"2007-09-23","snowball's-keepers","connecticut,hartford"
"68","GC14EX8",41.96233,-72.74548,"2007-07-18","geoaware","connecticut,hartford"
"69","GC307XJ",40.88205,-77.6113,"2019-10-12","Team Mumu","pennsylvania,centre"
"70","GC307XJ",40.88205,-77.6113,"2019-07-03","Uncle Fuzzy","pennsylvania,centre"
"71","GC307XJ",40.88205,-77.6113,"2018-07-12","MommyTP","pennsylvania,centre"
"72","GC307XJ",40.88205,-77.6113,"2018-07-12","Tprints","pennsylvania,centre"
"73","GC307XJ",40.88205,-77.6113,"2017-07-31","ST.FU","pennsylvania,centre"
"74","GC307XJ",40.88205,-77.6113,"2017-07-28","GR8Caches","pennsylvania,centre"
"75","GC307XJ",40.88205,-77.6113,"2017-07-28","GEO WALKER","pennsylvania,centre"
"76","GC307XJ",40.88205,-77.6113,"2016-09-04","HowerPower","pennsylvania,centre"
"77","GC307XJ",40.88205,-77.6113,"2016-07-23","UB2011BH","pennsylvania,centre"
"78","GC307XJ",40.88205,-77.6113,"2016-06-29","HappilyEverAfter0818","pennsylvania,centre"
"79","GC307XJ",40.88205,-77.6113,"2016-06-13","ndrw13","pennsylvania,centre"
"80","GC307XJ",40.88205,-77.6113,"2016-04-22","kcepenn","pennsylvania,centre"
"81","GC307XJ",40.88205,-77.6113,"2015-09-26","miatabug","pennsylvania,centre"
"82","GC307XJ",40.88205,-77.6113,"2015-08-30","ST.FU","pennsylvania,centre"
"83","GC307XJ",40.88205,-77.6113,"2015-08-21","harrickson","pennsylvania,centre"
"84","GC307XJ",40.88205,-77.6113,"2015-08-16","GuentherGal","pennsylvania,centre"
"85","GC307XJ",40.88205,-77.6113,"2015-07-21","PaRacers","pennsylvania,centre"
"86","GC307XJ",40.88205,-77.6113,"2015-07-06","Smooch262","pennsylvania,centre"
"87","GC307XJ",40.88205,-77.6113,"2015-06-21","moocher2notyou","pennsylvania,centre"
"88","GC307XJ",40.88205,-77.6113,"2014-08-19","scoof","pennsylvania,centre"
"89","GC307XJ",40.88205,-77.6113,"2014-08-03","ZombieHunters16365","pennsylvania,centre"
"90","GC307XJ",40.88205,-77.6113,"2013-10-05","ted28285","pennsylvania,centre"
"91","GC307XJ",40.88205,-77.6113,"2013-08-26","TeamKruznn","pennsylvania,centre"
"92","GC307XJ",40.88205,-77.6113,"2013-08-19","browneyedgirl789","pennsylvania,centre"
"93","GC307XJ",40.88205,-77.6113,"2013-08-04","Mr Fishy","pennsylvania,centre"
"94","GC307XJ",40.88205,-77.6113,"2013-05-26","3Onions","pennsylvania,centre"
"95","GC307XJ",40.88205,-77.6113,"2013-04-24","ponil","pennsylvania,centre"
"96","GC307XJ",40.88205,-77.6113,"2012-10-14","Jockster","pennsylvania,centre"
"97","GC307XJ",40.88205,-77.6113,"2012-09-23","The Bubba Team","pennsylvania,centre"
"98","GC307XJ",40.88205,-77.6113,"2012-09-02","scheck1","pennsylvania,centre"
"99","GC307XJ",40.88205,-77.6113,"2012-08-06","fuerte24","pennsylvania,centre"
"100","GC307XJ",40.88205,-77.6113,"2012-07-28","daveprenj","pennsylvania,centre"
"101","GC307XJ",40.88205,-77.6113,"2012-04-06","Lumpheimers","pennsylvania,centre"
"102","GC307XJ",40.88205,-77.6113,"2011-10-31","r.e.s.t.seekers","pennsylvania,centre"
"103","GC307XJ",40.88205,-77.6113,"2011-08-30","4CeasonS","pennsylvania,centre"
"104","GC307XJ",40.88205,-77.6113,"2011-08-13","GrayFinders2","pennsylvania,centre"
