Loglikelihood,theta,ID
NA,2,1
-1329.0558274147206,2,2
-1300.5637371147589,2,3
-1287.4366494253163,2,4
-1283.8171010654053,2,5
-1284.1351835328733,2,6
-1281.6951378995946,2,7
-1280.459434054083,2,8
-1279.874839276496,2,9
-1279.5579822189297,2,10
-1277.7980747049444,2,11
-1276.900327182951,2,12
-1276.1410720590418,2,13
-1275.5467839544476,2,14
-1274.963028746853,2,15
-1274.4090073146192,2,16
-1273.9106283726492,2,17
-1273.4426125183186,2,18
-1272.8616252228076,2,19
-1272.479631388288,2,20
-1272.133347513702,2,21
-1271.8172744306735,2,22
-1271.5262101413712,2,23
-1271.2556187033238,2,24
-1271.00179065281,2,25
-1270.761864478241,2,26
-1270.3271323967826,2,27
-1270.108592349488,2,28
-1269.89959648023,2,29
-1269.699585779804,2,30
-1269.5082210270793,2,31
-1269.3252676549484,2,32
-1269.1505099420726,2,33
-1268.983695478556,2,34
-1268.824507094364,2,35
-1268.6725571331178,2,36
-1268.5273978364319,2,37
-1268.3885415537165,2,38
-1268.2554852336518,2,39
-1268.1277347827713,2,40
-1268.0048261964957,2,41
-1267.886341651275,2,42
-1267.7719198269492,2,43
-1267.6612606167823,2,44
-1267.5541249254875,2,45
-1267.450330640852,2,46
-1267.3497459386033,2,47
-1267.252281034453,2,48
-1267.1578793417493,2,49
-1267.066508772491,2,50
-1266.978153700334,2,51
-1266.8928078969639,2,52
-1266.8104686130753,2,53
-1266.731131837187,2,54
-1266.6547886920687,2,55
-1266.5814228950371,2,56
-1266.5110091363267,2,57
-1266.4435122922075,2,58
-1266.3788872803952,2,59
-1266.3170794984521,2,60
-1266.2580256530532,2,61
-1266.2016549205287,2,62
-1266.1478903066725,2,63
-1266.0966501097191,2,64
-1266.047849455921,2,65
-1266.0014017553956,2,66
-1265.9572201181345,2,67
-1265.9152186212993,2,68
-1265.8753134365709,2,69
-1265.8374237839107,2,70
-1265.8014726961255,2,71
-1265.7673876093013,2,72
-1265.7351007716218,2,73
-1265.7045494837485,2,74
-1265.675676188631,2,75
-1265.6484284205922,2,76
