"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"1",10,0.5,0,0.01,0,0,0.000537847351424046,0.0156977659164322,-0.731662013808408,15.2188739501079,-42.9425584042666,25.8985280382553
"2",35,0.5,0,0.01,0,0,2.00426872839561e-09,1.58710481528786e-07,-0.732133652504888,15.2179511771329,-42.9425878987018,25.8982129351075
"3",60,0.5,0,0.01,0,0,7.46921441295938e-15,9.6491963996583e-13,-0.73213365425968,15.2179511736982,-42.9425878988118,25.8982129339326
"4",85,0.5,0,0.01,0,0,2.78351715849914e-20,4.9876794163293e-18,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"5",110,0.5,0,0.01,0,0,1.03732030482564e-25,2.37739528423026e-23,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"6",135,0.5,0,0.01,0,0,3.86573300444006e-31,1.07925941794816e-28,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"7",160,0.5,0,0.01,0,0,1.44062461634055e-36,4.74233784156258e-34,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"8",10,0.75,0,0.01,0,0,1.9318228353559e-05,0.000390874583501449,-0.732122378391728,15.2179732370188,-42.9425872016373,25.8982208327336
"9",35,0.75,0,0.01,0,0,1.38977777185219e-13,7.44459364571134e-12,-0.73213365425954,15.2179511736981,-42.9425878988118,25.8982129339327
"10",60,0.75,0,0.01,0,0,9.99824617329391e-22,8.68848842882729e-20,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"11",85,0.75,0,0.01,0,0,7.19287130406162e-30,8.64823792696335e-28,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"12",110,0.75,0,0.01,0,0,5.17464730314303e-38,7.94653984682897e-36,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"13",135,0.75,0,0.01,0,0,3.72271010838252e-46,6.95774984834775e-44,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"14",160,0.75,0,0.01,0,0,2.67816717530408e-54,5.89822019184202e-52,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"15",10,1,0,0.01,0,0,5.59107962355671e-07,8.63037584412119e-06,-0.732133409932977,15.2179516517741,-42.9425878839474,25.8982131130188
"16",35,1,0,0.01,0,0,7.76485988246517e-18,3.13979670494469e-16,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"17",60,1,0,0.01,0,0,1.07837938166985e-28,7.05648049274188e-27,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"18",85,1,0,0.01,0,0,1.49764723177659e-39,1.35441185761826e-37,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"19",110,1,0,0.01,0,0,2.07992406844318e-50,2.40098060197519e-48,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"20",135,1,0,0.01,0,0,2.88858687059264e-61,4.05661509975815e-59,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
"21",160,1,0,0.01,0,0,4.01165323078635e-72,6.63671758641708e-70,-0.732133654259504,15.217951173698,-42.9425878988118,25.8982129339326
