,GC,lat,long,Date,User,county
1,GCKQXH,45.77832,-65.77532,2019-06-17,cogsweba,Kings-New Brunswick
2,GCKQXH,45.77832,-65.77532,2016-10-01,Team BikeFast,Kings-New Brunswick
3,GCKQXH,45.77832,-65.77532,2016-06-08,The Major Family,Kings-New Brunswick
4,GCKQXH,45.77832,-65.77532,2015-08-02,Tetagoucher,Kings-New Brunswick
5,GCKQXH,45.77832,-65.77532,2013-08-04,K57,Kings-New Brunswick
6,GCKQXH,45.77832,-65.77532,2012-06-17,sussexace,Kings-New Brunswick
7,GCKQXH,45.77832,-65.77532,2012-06-17,vfrgirl,Kings-New Brunswick
8,GCKQXH,45.77832,-65.77532,2012-01-10,incepit,Kings-New Brunswick
9,GCKQXH,45.77832,-65.77532,2012-01-10,markirene,Kings-New Brunswick
10,GCKQXH,45.77832,-65.77532,2012-01-10,Rev Slippery,Kings-New Brunswick
11,GCKQXH,45.77832,-65.77532,2011-07-15,GEDCanada,Kings-New Brunswick
12,GCKQXH,45.77832,-65.77532,2011-07-15,Team BikeFast,Kings-New Brunswick
13,GCKQXH,45.77832,-65.77532,2011-07-15,KFDCanada&GEDCanada,Kings-New Brunswick
14,GCKQXH,45.77832,-65.77532,2010-08-08,SuperheroInTraining,Kings-New Brunswick
15,GCKQXH,45.77832,-65.77532,2010-07-28,avardmac,Kings-New Brunswick
16,GCKQXH,45.77832,-65.77532,2010-05-26,ajlong,Kings-New Brunswick
17,GCKQXH,45.77832,-65.77532,2009-07-05,mud in the face,Kings-New Brunswick
18,GCKQXH,45.77832,-65.77532,2008-12-13,ZeMartelo,Kings-New Brunswick
19,GCKQXH,45.77832,-65.77532,2008-09-05,The Major Family,Kings-New Brunswick
20,GCKQXH,45.77832,-65.77532,2008-07-20,Olive_Girl,Kings-New Brunswick
21,GCKQXH,45.77832,-65.77532,2008-07-20,Ol_eagle_eyes,Kings-New Brunswick
22,GCKQXH,45.77832,-65.77532,2008-06-10,DueEast,Kings-New Brunswick
23,GCKQXH,45.77832,-65.77532,2007-04-30,TLWTOC,Kings-New Brunswick
24,GCKQXH,45.77832,-65.77532,2007-04-30,DIGGER_52,Kings-New Brunswick
25,GCKQXH,45.77832,-65.77532,2006-12-31,Toadster,Kings-New Brunswick
26,GCKQXH,45.77832,-65.77532,2006-10-17,Creakers,Kings-New Brunswick
27,GCKQXH,45.77832,-65.77532,2006-07-19,KD_cachers,Kings-New Brunswick
28,GCKQXH,45.77832,-65.77532,2006-05-06,Team BikeFast,Kings-New Brunswick
29,GCKQXH,45.77832,-65.77532,2006-04-16,MacRats,Kings-New Brunswick
30,GCKQXH,45.77832,-65.77532,2006-04-13,BEESKEEPER,Kings-New Brunswick
31,GCKQXH,45.77832,-65.77532,2006-04-01,bayseekers,Kings-New Brunswick
