"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"St. Louis-Minnesota",0,0,0,0,0,0,0,7.473683224099e-81,1.03446821126155e-25,1.09644581962162e-25,1.42035003558713e-05,1.42035003558713e-05,1
"Lake-Minnesota",0,0,0,0,0,0,0,1.06145859644479e-51,1.65832233578664e-12,1,1,1,1
"Becker-Minnesota",0,0,0,0,0,0,0,0,0,3.28401003538383e-38,1,1,1
"Douglas-Wisconsin",0,0,0,0,0,0,0,7.60800110555938e-57,7.60800110555942e-57,5.28492480632792e-26,1,1,1
"Iron-Wisconsin",0,0,0,0,0,0,0,1.55528423611263e-17,1.55528423611276e-17,1,1,1,1
"Piscataquis-Maine",0,2.70029692987131e-82,1.09353594372629e-70,9.29235551691461e-33,0.999980241678835,0.999999999945564,0.999999999945564,0.999999999945564,0.999999999945564,0.999999999945564,0.999999999945564,1,1
"Pine-Minnesota",0,0,0,0,0,0,0,7.49947369073549e-87,7.49947370284196e-87,0.986276628792893,1,1,1
"Oxford-Maine",4.93698113296407e-125,9.95391246214123e-41,1.41335092373601e-25,1,1,1,1,1,1,1,1,1,1
"Coos-New Hampshire",6.72046740519059e-117,3.69214481686678e-29,5.98221148800062e-20,1.49386858356621e-19,1,1,1,1,1,1,1,1,1
"Washington-Minnesota",0,0,0,0,0,0,0,5.15185177901879e-117,6.62110474674698e-98,7.86136632840001e-10,1,1,1
"Hennepin-Minnesota",0,0,0,0,0,0,0,4.5401396773412e-129,1.14087126944623e-110,3.75395282798367e-08,1,1,1
"Ramsey-Minnesota",0,0,0,0,0,0,0,2.89180400121672e-121,2.11716208884386e-102,0.499960110323054,1,1,1
"Clinton-New York",2.85146025256213e-83,7.32551060837321e-10,0.0319968813735799,0.0319968813735808,0.0319968813735808,0.0319968813735808,0.0319968813735808,1,1,1,1,1,1
"Franklin-New York",2.91708676397729e-74,2.06070418696995e-07,0.992676920321639,0.992676920321639,0.992676920321639,0.992676920321639,0.992676920321639,1,1,1,1,1,1
"Dakota-Minnesota",0,0,0,0,0,0,0,4.69457000835851e-104,9.44739448476591e-86,0.0100898426479657,1,1,1
"Pierce-Wisconsin",0,0,0,0,0,0,0,4.28141431366114e-93,7.33511718248046e-74,1.05415987051224e-07,0.778897067875783,1,1
"Lamoille-Vermont",4.8076527360425e-92,4.26535494222567e-15,1,1,1,1,1,1,1,1,1,1,1
"Goodhue-Minnesota",0,0,0,0,0,0,0,4.97562329609641e-86,8.57268954409758e-68,0.145533244678364,0.857709758636276,1,1
"Essex-New York",3.01999432760749e-47,0.997384285612242,1,1,1,1,1,1,1,1,1,1,1
"Washington-Vermont",5.07375197146632e-79,0.817059105154643,0.817059105154643,1,1,1,1,1,1,1,1,1,1
"Hancock-Maine",0,1.78500666402725e-90,4.23311521470243e-73,2.37856847462761e-48,2.70553652341658e-30,0.999999883458944,1,1,1,1,1,1,1
