"","a","dist","rho","theta","loglikelhood"
"1","0.1","5","0.1","0.6",-1315.33468466277
"2","0.1","5","0.1","0.8",-1316.13887195838
"3","0.1","5","0.1","1",-1317.51068399571
"4","0.1","5","0.1","1.2",-1319.03486427529
"5","0.1","5","0.1","1.4",-1320.51464832381
"6","0.1","5","0.1","1.6",-1321.86394218571
"7","0.1","5","0.1","1.8",-1323.052707793
"8","0.1","5","0.1","2",-1324.07877922973
"9","0.1","5","0.2","0.6",-1315.07521777779
"10","0.1","5","0.2","0.8",-1315.83723387243
"11","0.1","5","0.2","1",-1317.14219928006
"12","0.1","5","0.2","1.2",-1318.59368594595
"13","0.1","5","0.2","1.4",-1320.00369285843
"14","0.1","5","0.2","1.6",-1321.28986196886
"15","0.1","5","0.2","1.8",-1322.42336797084
"16","0.1","5","0.2","2",-1323.40201603329
"17","0.1","5","0.3","0.6",-1315.01996699682
"18","0.1","5","0.3","0.8",-1315.7337845029
"19","0.1","5","0.3","1",-1316.9627144355
"20","0.1","5","0.3","1.2",-1318.33169456019
"21","0.1","5","0.3","1.4",-1319.66264204788
"22","0.1","5","0.3","1.6",-1320.87740323758
"23","0.1","5","0.3","1.8",-1321.94849572638
"24","0.1","5","0.3","2",-1322.87366327259
"25","0.1","5","0.4","0.6",-1315.22399611212
"26","0.1","5","0.4","0.8",-1315.88247210188
"27","0.1","5","0.4","1",-1317.02400167702
"28","0.1","5","0.4","1.2",-1318.29814887697
"29","0.1","5","0.4","1.4",-1319.5382580616
"30","0.1","5","0.4","1.6",-1320.6710108995
"31","0.1","5","0.4","1.8",-1321.67046123968
"32","0.1","5","0.4","2",-1322.53427482588
"33","0.1","5","0.5","0.6",-1315.77877837507
"34","0.1","5","0.5","0.8",-1316.37317099357
"35","0.1","5","0.5","1",-1317.41287637626
"36","0.1","5","0.5","1.2",-1318.57635358684
"37","0.1","5","0.5","1.4",-1319.71037225024
"38","0.1","5","0.5","1.6",-1320.74730441199
"39","0.1","5","0.5","1.8",-1321.66302147322
"40","0.1","5","0.5","2",-1322.4551092911
"41","0.1","5","0.6","0.6",-1316.83891753
"42","0.1","5","0.6","0.8",-1317.35818217732
"43","0.1","5","0.6","1",-1318.27717348277
"44","0.1","5","0.6","1.2",-1319.30900132583
"45","0.1","5","0.6","1.4",-1320.31658435777
