"","X","GC","title","url","lat","lon","country","province.state","county","numfinds","numpage"
"952",952,"GC6RVQP","Manganese Mine","https://www.geocaching.com/geocache/GC6RVQP_manganese-mine","47:29:48","-88:02:42","United States","Michigan","Keweenaw County (MI)","15","1"
"924",924,"GC2J3Y3","Lost Dutchman's Gold Mine?","https://www.geocaching.com/geocache/GC2J3Y3_lost-dutchmans-gold-mine","41:02:46","-75:12:43","United States","New Jersey","Warren County (NJ)","22","1"
"1221",1221,"GCXVYE","Panther's Cave Cache","https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache","41:36:02","-79:39:04","United States","Pennsylvania","Venango County (PA)","29","2"
"1183",1183,"GC14EX8","Old Newgate Mine","https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine","41:58:14","-72:56:09","United States","Connecticut","Hartford County (CT)","184","8"
"1233",1233,"GC307XJ","Penn's Cave","https://www.geocaching.com/geocache/GC307XJ_penns-cave","41:07:23","-77:47:18","United States","Pennsylvania","Centre County (PA)","203","9"
"1234",1234,"GCKQXH","Pennies From Heaven At The Old Dick Mine","https://www.geocaching.com/geocache/GCKQXH_pennies-from-heaven-at-the-old-dick-mine","45:57:39","-65:54:39","Canada","New Brunswick","Kings (New Brunswick)","48","2"
"1241",1241,"GCH6N3","Pierrepont Cave Rave","https://www.geocaching.com/geocache/GCH6N3_pierrepont-cave-rave","41:25:38","-73:42:32","United States","Connecticut","Fairfield County (CT)","36","2"
"1242",1242,"GC1RXZ8","Pig Man's Cave (rock shelter)","https://www.geocaching.com/geocache/GC1RXZ8_pig-mans-cave-rock-shelter","37:43:25","-84:13:26","United States","Kentucky","Rockcastle County (KY)","7","1"
"1249",1249,"GC25B2Q","PMC Lite - Not Finley's Mine","https://www.geocaching.com/geocache/GC25B2Q_pmc-lite-not-finleys-mine","40:55:45","-74:44:22","United States","New Jersey","Morris County (NJ)","64","3"
"1347",1347,"GC2D73E","Silas Doty's Cave","https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave","42:00:41","-84:29:48","United States","Michigan","Hillsdale County (MI)","246","10"
"767",767,"GCJ9EY","Hogencamp Mine Cache","https://www.geocaching.com/geocache/GCJ9EY_hogencamp-mine-cache","41:24:03","-74:10:55","United States","New York","Orange County (NY)","163","7"
"783",783,"GC1CM6Z","Hyde Park Gold Mine","https://www.geocaching.com/geocache/GC1CM6Z_hyde-park-gold-mine","41:56:57","-73:57:04","United States","New York","Dutchess County (NY)","156","7"
"1516",1516,"GC1554H","The Student Park Cave Earthcache","https://www.geocaching.com/geocache/GC1554H_the-student-park-cave-earthcache","35:16:27","-85:15:05","United States","Tennessee","Hamilton County (TN)","207","9"
"544",544,"GC3JEQA","Daniel's Limehouse Cave Cache","https://www.geocaching.com/geocache/GC3JEQA_daniels-limehouse-cave-cache","43:38:51","-80:06:14","Canada","Ontario","Halton","224","9"
"318",318,"GC1EHWD","Cave at Cheeks Bend","https://www.geocaching.com/geocache/GC1EHWD_cave-at-cheeks-bend","35:36:39","-87:05:44","United States","Tennessee","Maury County (TN)","2","1"
"311",311,"GC7N8XT","CAVE - Grandfather Cave","https://www.geocaching.com/geocache/GC7N8XT_cave-grandfather-cave","40:59:09","-77:26:29","United States","Pennsylvania","Centre County (PA)","4","1"
"993",993,"GC1VR12","Miller Mountain Cave","https://www.geocaching.com/geocache/GC1VR12_miller-mountain-cave","38:40:19","-80:27:31","United States","West Virginia","Webster County (WV)","56","3"
"1118",1118,"GC3QDAW","NATR - Phosphate Mine","https://www.geocaching.com/geocache/GC3QDAW_natr-phosphate-mine","35:36:09","-87:39:27","United States","Tennessee","Lewis County (TN)","111","5"
"816",816,"GC54YDG","Iron Pit Mine","https://www.geocaching.com/geocache/GC54YDG_iron-pit-mine","40:52:28","-74:33:04","United States","New Jersey","Somerset County (NJ)","78","4"
