"","year","county1","county2","num.shared","incidence","date","inf.counties"
"1","2013-01-01","Marion","Ontonagon",1,1,2013-01-01,474
"2","2013-01-01","Marion","Keweenaw",2,1,2013-01-01,474
"3","2013-01-01","Marion","Maury",3,1,2013-01-01,474
"4","2013-01-01","Marion","York County",1,1,2013-01-01,474
"5","2013-01-01","Marion","Hardin",4,1,2013-01-01,474
"6","2013-01-01","Marion","Hocking",5,1,2013-01-01,474
"7","2013-01-01","Marion","Marion",1,0,2013-01-01,474
"8","2013-01-01","Marion","Houghton",1,0,2013-01-01,474
"9","2013-01-01","Marion","La Côte-De-Gaspé",1,0,2013-01-01,474
"10","2013-01-01","Marion","Phelps",1,0,2013-01-01,474
"11","2013-01-01","Marion","St. Louis County",1,0,2013-01-01,474
"12","2013-01-01","Marion","Taney",1,0,2013-01-01,474
"13","2013-01-01","Marion","Newton",1,0,2013-01-01,474
"14","2013-01-01","Marion","Pulaski",1,0,2013-01-01,474
"15","2013-01-01","Marion","Lewis",1,0,2013-01-01,474
"16","2013-01-01","Marion","Warren",1,0,2013-01-01,474
"17","2013-01-01","Marion","Edmonson",1,0,2013-01-01,474
"18","2013-01-01","Marion","Lee",1,0,2013-01-01,474
"19","2013-01-01","Marion","Rockcastle",1,0,2013-01-01,474
"20","2013-01-01","Marion","Carter",1,0,2013-01-01,474
"21","2013-01-01","Marion","Letcher",1,0,2013-01-01,474
"22","2013-01-01","Marion","Meade",1,0,2013-01-01,474
"23","2013-01-01","Marion","Washington",1,0,2013-01-01,474
"24","2013-01-01","Marion","Haliburton County",1,0,2013-01-01,474
"25","2013-01-01","Marion","Fairfield",1,0,2013-01-01,474
"26","2013-01-01","Marion","Wise",1,0,2013-01-01,474
"27","2013-01-01","Marion","Kings County",1,0,2013-01-01,474
"28","2013-01-01","Marion","Nipissing District (Part 1 Of)",1,0,2013-01-01,474
"29","2013-01-01","Marion","Halton Regional Municipality",1,0,2013-01-01,474
"30","2013-01-01","Marion","Oxford",1,0,2013-01-01,474
"31","2013-01-01","Marion","Saint John County",1,0,2013-01-01,474
"32","2013-01-01","Marion","Roanoke",1,0,2013-01-01,474
"33","2013-01-01","Marion","Crawford",1,0,2013-01-01,474
"34","2013-01-01","Marion","Monroe",1,0,2013-01-01,474
"35","2013-01-01","Marion","Montgomery",1,0,2013-01-01,474
"36","2013-01-01","Marion","Smyth",1,0,2013-01-01,474
"37","2013-01-01","Marion","Luzerne",1,0,2013-01-01,474
"38","2013-01-01","Marion","Centre",1,0,2013-01-01,474
"39","2013-01-01","Marion","Putnam",1,0,2013-01-01,474
"40","2013-01-01","Marion","Giles",1,0,2013-01-01,474
"41","2013-01-01","Marion","Hartford",1,0,2013-01-01,474
"42","2013-01-01","Marion","Hamilton",1,0,2013-01-01,474
"43","2013-01-01","Marion","Morris",1,0,2013-01-01,474
"44","2013-01-01","Marion","Orange",1,0,2013-01-01,474
"45","2013-01-01","Marion","Blair",1,0,2013-01-01,474
"46","2013-01-01","Marion","Les Collines-De-L'Outaouais",1,0,2013-01-01,474
"47","2013-01-01","Marion","Greenbrier",1,0,2013-01-01,474
"48","2013-01-01","Marion","Sullivan",1,0,2013-01-01,474
"49","2013-01-01","Marion","Hastings County",1,0,2013-01-01,474
"50","2013-01-01","Marion","Huntingdon",1,0,2013-01-01,474
"51","2013-01-01","Marion","Hancock",1,0,2013-01-01,474
"52","2013-01-01","Marion","Clearfield",1,0,2013-01-01,474
"53","2013-01-01","Marion","Colchester County",1,0,2013-01-01,474
"54","2013-01-01","Marion","Cuyahoga",1,0,2013-01-01,474
"55","2013-01-01","Marion","Westmorland County",1,0,2013-01-01,474
"56","2013-01-01","Marion","Franklin",1,0,2013-01-01,474
"57","2013-01-01","Marion","Ulster",1,0,2013-01-01,474
"58","2013-01-01","Marion","Bennington",1,0,2013-01-01,474
"59","2013-01-01","Marion","Rowan",1,0,2013-01-01,474
"60","2013-01-01","Hocking","Ontonagon",1,1,2013-01-01,474
"61","2013-01-01","Hocking","Keweenaw",4,1,2013-01-01,474
"62","2013-01-01","Hocking","Maury",7,1,2013-01-01,474
"63","2013-01-01","Hocking","York County",1,1,2013-01-01,474
"64","2013-01-01","Hocking","Hardin",5,1,2013-01-01,474
"65","2013-01-01","Hocking","Hocking",1,0,2013-01-01,474
"66","2013-01-01","Hocking","Marion",5,1,2013-01-01,474
"67","2013-01-01","Hocking","Houghton",1,0,2013-01-01,474
"68","2013-01-01","Hocking","La Côte-De-Gaspé",1,0,2013-01-01,474
"69","2013-01-01","Hocking","Phelps",1,0,2013-01-01,474
"70","2013-01-01","Hocking","St. Louis County",1,0,2013-01-01,474
"71","2013-01-01","Hocking","Taney",1,0,2013-01-01,474
"72","2013-01-01","Hocking","Newton",1,0,2013-01-01,474
"73","2013-01-01","Hocking","Pulaski",1,0,2013-01-01,474
"74","2013-01-01","Hocking","Lewis",1,0,2013-01-01,474
"75","2013-01-01","Hocking","Warren",1,0,2013-01-01,474
"76","2013-01-01","Hocking","Edmonson",1,0,2013-01-01,474
"77","2013-01-01","Hocking","Lee",1,0,2013-01-01,474
"78","2013-01-01","Hocking","Rockcastle",1,0,2013-01-01,474
"79","2013-01-01","Hocking","Carter",1,0,2013-01-01,474
"80","2013-01-01","Hocking","Letcher",1,0,2013-01-01,474
"81","2013-01-01","Hocking","Meade",1,0,2013-01-01,474
"82","2013-01-01","Hocking","Washington",1,0,2013-01-01,474
"83","2013-01-01","Hocking","Haliburton County",1,0,2013-01-01,474
"84","2013-01-01","Hocking","Fairfield",1,0,2013-01-01,474
"85","2013-01-01","Hocking","Wise",1,0,2013-01-01,474
"86","2013-01-01","Hocking","Kings County",1,0,2013-01-01,474
"87","2013-01-01","Hocking","Nipissing District (Part 1 Of)",1,0,2013-01-01,474
"88","2013-01-01","Hocking","Halton Regional Municipality",1,0,2013-01-01,474
"89","2013-01-01","Hocking","Oxford",1,0,2013-01-01,474
