"","county","year","foi","incidence","previousyear","previnf"
"1","Adair-Oklahoma","2007",3.21349920754568e-43,0,0,NA
"2","Adair-Oklahoma","2008",4.24252923414629e-24,0,0,3.21349920754568e-43
"3","Adair-Oklahoma","2009",3.8625487057469e-05,0,0,4.24252923414629e-24
"4","Adair-Oklahoma","2010",3.86256462838846e-05,0,0,3.8625487057469e-05
"5","Adair-Oklahoma","2011",0.00164201256316343,0,0,3.86256462838846e-05
"6","Adair-Oklahoma","2012",0.0016496723159005,0,0,0.00164201256316343
"7","Adair-Oklahoma","2013",0.011084795775408,0,0,0.0016496723159005
"8","Adair-Oklahoma","2014",0.175016877826343,0,0,0.011084795775408
"9","Adair-Oklahoma","2015",0.60300328639931,0,0,0.175016877826343
"10","Adair-Oklahoma","2016",0.933529065479936,0,0,0.60300328639931
"11","Adair-Oklahoma","2017",0.999997043073103,1,0,0.933529065479936
"13","Adams-Illinois","2007",2.65139132863579e-28,0,0,1
"14","Adams-Illinois","2008",7.42421115789746e-17,0,0,2.65139132863579e-28
"15","Adams-Illinois","2009",0.121840559673051,0,0,7.42421115789746e-17
"16","Adams-Illinois","2010",0.12184392958119,0,0,0.121840559673051
"17","Adams-Illinois","2011",0.180291040433987,0,0,0.12184392958119
"18","Adams-Illinois","2012",0.203145982281051,0,0,0.180291040433987
"19","Adams-Illinois","2013",0.441744489813404,0,0,0.203145982281051
"20","Adams-Illinois","2014",0.958970208855041,1,0,0.441744489813404
"37","Albert-New Brunswick","2007",1.66487337566248e-10,0,0,0.999999999999999
"38","Albert-New Brunswick","2008",1.7258718674964e-09,0,0,1.66487337566248e-10
"39","Albert-New Brunswick","2009",2.35062969316357e-08,0,0,1.7258718674964e-09
"40","Albert-New Brunswick","2010",0.192616315487383,1,0,2.35062969316357e-08
"49","Alexander-Illinois","2007",1.83306768434275e-28,0,0,1
"50","Alexander-Illinois","2008",5.02252809267395e-12,0,0,1.83306768434275e-28
"51","Alexander-Illinois","2009",0.00576263184894906,0,0,5.02252809267395e-12
"52","Alexander-Illinois","2010",0.0314287584249856,0,0,0.00576263184894906
"53","Alexander-Illinois","2011",0.14066568872771,0,0,0.0314287584249856
"54","Alexander-Illinois","2012",0.395945458589251,0,0,0.14066568872771
"55","Alexander-Illinois","2013",0.447858012477796,0,0,0.395945458589251
"56","Alexander-Illinois","2014",0.991821375361517,1,0,0.447858012477796
"61","Alger-Michigan","2007",4.29335783154362e-16,0,0,0.999999996935863
"62","Alger-Michigan","2008",5.9129169541977e-16,0,0,4.29335783154362e-16
"63","Alger-Michigan","2009",1.15246853725074e-07,0,0,5.9129169541977e-16
"64","Alger-Michigan","2010",0.00298120876695498,0,0,1.15246853725074e-07
"65","Alger-Michigan","2011",0.00308111325593202,0,0,0.00298120876695498
"66","Alger-Michigan","2012",0.00311209739252728,0,0,0.00308111325593202
"67","Alger-Michigan","2013",0.461031605461131,0,0,0.00311209739252728
"68","Alger-Michigan","2014",0.963493214291933,1,0,0.461031605461131
"73","Algoma Dist. (Part 1 Of)-Ontario","2007",3.26548943055395e-13,0,0,1
"74","Algoma Dist. (Part 1 Of)-Ontario","2008",3.81270897149391e-13,0,0,3.26548943055395e-13
"75","Algoma Dist. (Part 1 Of)-Ontario","2009",0.000624778714968495,0,0,3.81270897149391e-13
"76","Algoma Dist. (Part 1 Of)-Ontario","2010",0.00520161280648751,1,0,0.000624778714968495
"85","Algoma Dist. (Part 2 Of)-Ontario","2007",1.28600872256501e-08,0,0,1
"86","Algoma Dist. (Part 2 Of)-Ontario","2008",1.5870551502625e-08,0,0,1.28600872256501e-08
"87","Algoma Dist. (Part 2 Of)-Ontario","2009",0.0464645522854884,0,0,1.5870551502625e-08
"88","Algoma Dist. (Part 2 Of)-Ontario","2010",0.141578807260549,0,0,0.0464645522854884
"89","Algoma Dist. (Part 2 Of)-Ontario","2011",0.141854293359158,1,0,0.141578807260549
"97","Algoma Dist. (Part 3 Of)-Ontario","2007",6.68958504072476e-14,0,0,1
"98","Algoma Dist. (Part 3 Of)-Ontario","2008",7.71127966498885e-14,0,0,6.68958504072476e-14
"99","Algoma Dist. (Part 3 Of)-Ontario","2009",0.0006909962549803,0,0,7.71127966498885e-14
"100","Algoma Dist. (Part 3 Of)-Ontario","2010",0.836341580149459,0,0,0.0006909962549803
"101","Algoma Dist. (Part 3 Of)-Ontario","2011",0.842242039397679,0,0,0.836341580149459
"102","Algoma Dist. (Part 3 Of)-Ontario","2012",0.938058584451155,0,0,0.842242039397679
"103","Algoma Dist. (Part 3 Of)-Ontario","2013",0.960404452433355,1,0,0.938058584451155
"109","Algoma District (Part 4 of)-Ontario","2007",2.18474041232265e-11,0,0,1
"110","Algoma District (Part 4 of)-Ontario","2008",2.72661020653885e-11,0,0,2.18474041232265e-11
"111","Algoma District (Part 4 of)-Ontario","2009",0.000721395345328551,0,0,2.72661020653885e-11
"112","Algoma District (Part 4 of)-Ontario","2010",0.175358598124648,0,0,0.000721395345328551
"113","Algoma District (Part 4 of)-Ontario","2011",0.370450482735709,0,0,0.175358598124648
"114","Algoma District (Part 4 of)-Ontario","2012",0.412898460743825,0,0,0.370450482735709
"115","Algoma District (Part 4 of)-Ontario","2013",0.817299882712522,0,0,0.412898460743825
"116","Algoma District (Part 4 of)-Ontario","2014",0.999361714786666,1,0,0.817299882712522
"121","Allegany-Maryland","2007",1.41749329818585e-06,0,0,1
"122","Allegany-Maryland","2008",0.0486947199710917,0,0,1.41749329818585e-06
"123","Allegany-Maryland","2009",0.240222081764118,1,0,0.0486947199710917
"133","Alleghany-Virginia","2007",8.15446474593755e-11,0,0,0.9999999984372
"134","Alleghany-Virginia","2008",0.197424365764659,0,0,8.15446474593755e-11
"135","Alleghany-Virginia","2009",0.616369938092957,0,0,0.197424365764659
"136","Alleghany-Virginia","2010",0.98184572726381,1,0,0.616369938092957
