"","county","year","foi","incidence","previousyear","previnf"
"1","Adair-Oklahoma","2007",0,0,0,NA
"2","Adair-Oklahoma","2008",2.29348767839854e-67,0,0,0
"3","Adair-Oklahoma","2009",1.58177337817419e-06,0,0,2.29348767839854e-67
"4","Adair-Oklahoma","2010",1.58177337817435e-06,0,0,1.58177337817419e-06
"5","Adair-Oklahoma","2011",0.000904860422794428,0,0,1.58177337817435e-06
"6","Adair-Oklahoma","2012",0.000904888655420225,0,0,0.000904860422794428
"7","Adair-Oklahoma","2013",0.00747000140226838,0,0,0.000904888655420225
"8","Adair-Oklahoma","2014",0.188483466137306,0,0,0.00747000140226838
"9","Adair-Oklahoma","2015",0.595719313896693,0,0,0.188483466137306
"10","Adair-Oklahoma","2016",0.921535981625238,0,0,0.595719313896693
"11","Adair-Oklahoma","2017",0.999999991113511,1,0,0.921535981625238
"13","Adams-Illinois","2007",3.35281180761596e-86,0,0,1
"14","Adams-Illinois","2008",1.35186744989822e-40,0,0,3.35281180761596e-86
"15","Adams-Illinois","2009",0.131705368633052,0,0,1.35186744989822e-40
"16","Adams-Illinois","2010",0.131705371356728,0,0,0.131705368633052
"17","Adams-Illinois","2011",0.200655389064136,0,0,0.131705371356728
"18","Adams-Illinois","2012",0.216156841985488,0,0,0.200655389064136
"19","Adams-Illinois","2013",0.432972282477201,0,0,0.216156841985488
"20","Adams-Illinois","2014",0.958459577922654,1,0,0.432972282477201
"37","Albert-New Brunswick","2007",8.97998179539689e-20,0,0,1
"38","Albert-New Brunswick","2008",1.44608210035068e-17,0,0,8.97998179539689e-20
"39","Albert-New Brunswick","2009",4.09604475078876e-14,0,0,1.44608210035068e-17
"40","Albert-New Brunswick","2010",0.21222165339661,1,0,4.09604475078876e-14
"49","Alexander-Illinois","2007",3.67318494662762e-87,0,0,1
"50","Alexander-Illinois","2008",2.95713773993407e-24,0,0,3.67318494662762e-87
"51","Alexander-Illinois","2009",0.00458009172411635,0,0,2.95713773993407e-24
"52","Alexander-Illinois","2010",0.0316902476213871,0,0,0.00458009172411635
"53","Alexander-Illinois","2011",0.147531220618595,0,0,0.0316902476213871
"54","Alexander-Illinois","2012",0.422316874745359,0,0,0.147531220618595
"55","Alexander-Illinois","2013",0.473093442654134,0,0,0.422316874745359
"56","Alexander-Illinois","2014",0.995106848126378,1,0,0.473093442654134
"61","Alger-Michigan","2007",1.09138197630869e-37,0,0,0.999999999999999
"62","Alger-Michigan","2008",1.098014096196e-37,0,0,1.09138197630869e-37
"63","Alger-Michigan","2009",7.68120795806485e-13,0,0,1.098014096196e-37
"64","Alger-Michigan","2010",0.00149800393426565,0,0,7.68120795806485e-13
"65","Alger-Michigan","2011",0.00150248658069213,0,0,0.00149800393426565
"66","Alger-Michigan","2012",0.00150294609453496,0,0,0.00150248658069213
"67","Alger-Michigan","2013",0.426044395219953,0,0,0.00150294609453496
"68","Alger-Michigan","2014",0.961583564446713,1,0,0.426044395219953
"73","Algoma Dist. (Part 1 Of)-Ontario","2007",1.91999352967424e-29,0,0,1
"74","Algoma Dist. (Part 1 Of)-Ontario","2008",1.92080500603029e-29,0,0,1.91999352967424e-29
"75","Algoma Dist. (Part 1 Of)-Ontario","2009",4.0308414091736e-05,0,0,1.92080500603029e-29
"76","Algoma Dist. (Part 1 Of)-Ontario","2010",0.00132550003852428,1,0,4.0308414091736e-05
"85","Algoma Dist. (Part 2 Of)-Ontario","2007",1.91857074650484e-16,0,0,1
"86","Algoma Dist. (Part 2 Of)-Ontario","2008",1.92619785299961e-16,0,0,1.91857074650484e-16
"87","Algoma Dist. (Part 2 Of)-Ontario","2009",0.0273627380715634,0,0,1.92619785299961e-16
"88","Algoma Dist. (Part 2 Of)-Ontario","2010",0.077547827887988,0,0,0.0273627380715634
"89","Algoma Dist. (Part 2 Of)-Ontario","2011",0.0775516186097523,1,0,0.077547827887988
"97","Algoma Dist. (Part 3 Of)-Ontario","2007",6.26045185699764e-32,0,0,1
"98","Algoma Dist. (Part 3 Of)-Ontario","2008",6.26202116270709e-32,0,0,6.26045185699764e-32
"99","Algoma Dist. (Part 3 Of)-Ontario","2009",4.02651936411208e-05,0,0,6.26202116270709e-32
"100","Algoma Dist. (Part 3 Of)-Ontario","2010",0.869363203451037,0,0,4.02651936411208e-05
"101","Algoma Dist. (Part 3 Of)-Ontario","2011",0.871067819088128,0,0,0.869363203451037
"102","Algoma Dist. (Part 3 Of)-Ontario","2012",0.966790587638456,0,0,0.871067819088128
"103","Algoma Dist. (Part 3 Of)-Ontario","2013",0.976390325401293,1,0,0.966790587638456
"109","Algoma District (Part 4 of)-Ontario","2007",8.73853029788486e-24,0,0,1
"110","Algoma District (Part 4 of)-Ontario","2008",8.76321810182021e-24,0,0,8.73853029788486e-24
"111","Algoma District (Part 4 of)-Ontario","2009",3.97988487782339e-05,0,0,8.76321810182021e-24
"112","Algoma District (Part 4 of)-Ontario","2010",0.186180469397816,0,0,3.97988487782339e-05
"113","Algoma District (Part 4 of)-Ontario","2011",0.397870609585398,0,0,0.186180469397816
"114","Algoma District (Part 4 of)-Ontario","2012",0.431352293003178,0,0,0.397870609585398
"115","Algoma District (Part 4 of)-Ontario","2013",0.841025267582787,0,0,0.431352293003178
"116","Algoma District (Part 4 of)-Ontario","2014",0.999980173526164,1,0,0.841025267582787
"121","Allegany-Maryland","2007",1.64056705775869e-09,0,0,1
"122","Allegany-Maryland","2008",0.0530819126765126,0,0,1.64056705775869e-09
"123","Allegany-Maryland","2009",0.258100701716945,1,0,0.0530819126765126
"133","Alleghany-Virginia","2007",3.61308940568988e-20,0,0,1
"134","Alleghany-Virginia","2008",0.202171543353354,0,0,3.61308940568988e-20
"135","Alleghany-Virginia","2009",0.612930877408512,0,0,0.202171543353354
"136","Alleghany-Virginia","2010",0.986671007126114,1,0,0.612930877408512
"145","Alpena-Michigan","2007",7.86049811777801e-19,0,0,0.999999285152329
"146","Alpena-Michigan","2008",9.23737588524597e-19,0,0,7.86049811777801e-19
"147","Alpena-Michigan","2009",0.0031449215399963,0,0,9.23737588524597e-19
"148","Alpena-Michigan","2010",0.0351004514992683,0,0,0.0031449215399963
"149","Alpena-Michigan","2011",0.0626564349185451,0,0,0.0351004514992683
"150","Alpena-Michigan","2012",0.0626757663660477,0,0,0.0626564349185451
"151","Alpena-Michigan","2013",0.158594959333197,1,0,0.0626757663660477
"157","Anderson-Tennessee","2007",1.72787120237335e-51,0,0,1
"158","Anderson-Tennessee","2008",7.6705503973758e-05,0,0,1.72787120237335e-51
"159","Anderson-Tennessee","2009",0.00411449906864834,0,0,7.6705503973758e-05
"160","Anderson-Tennessee","2010",0.0159509164081666,0,0,0.00411449906864834
"161","Anderson-Tennessee","2011",0.211733665814794,0,0,0.0159509164081666
"162","Anderson-Tennessee","2012",0.718746433205653,0,0,0.211733665814794
"163","Anderson-Tennessee","2013",0.969828898001777,1,0,0.718746433205653
"169","Annapolis-Nova Scotia","2007",9.57632140740115e-17,0,0,0.970121162917711
"170","Annapolis-Nova Scotia","2008",2.30237155315766e-14,0,0,9.57632140740115e-17
"171","Annapolis-Nova Scotia","2009",4.06683597504568e-12,0,0,2.30237155315766e-14
"172","Annapolis-Nova Scotia","2010",0.551314834270321,0,0,4.06683597504568e-12
