"","county","year","foi","incidence","previousyear","previnf"
"1","Adair-Oklahoma","2007",1.16032566978663e-16,0,0,NA
"2","Adair-Oklahoma","2008",1.07545566693281e-11,0,0,1.16032566978663e-16
"3","Adair-Oklahoma","2009",0.000188992969790479,0,0,1.07545566693281e-11
"4","Adair-Oklahoma","2010",0.000189585765813201,0,0,0.000188992969790479
"5","Adair-Oklahoma","2011",0.0022601492782411,0,0,0.000189585765813201
"6","Adair-Oklahoma","2012",0.00240186349974547,0,0,0.0022601492782411
"7","Adair-Oklahoma","2013",0.0142678942809606,0,0,0.00240186349974547
"8","Adair-Oklahoma","2014",0.156688401577102,0,0,0.0142678942809606
"9","Adair-Oklahoma","2015",0.614416066900527,0,0,0.156688401577102
"10","Adair-Oklahoma","2016",0.946056700805751,0,0,0.614416066900527
"11","Adair-Oklahoma","2017",0.999954752631667,1,0,0.946056700805751
"13","Adams-Illinois","2007",1.19452264682353e-12,0,0,0.999999999813241
"14","Adams-Illinois","2008",4.69650133817594e-09,0,0,1.19452264682353e-12
"15","Adams-Illinois","2009",0.109633362148578,0,0,4.69650133817594e-09
"16","Adams-Illinois","2010",0.109749004341131,0,0,0.109633362148578
"17","Adams-Illinois","2011",0.158386659444547,0,0,0.109749004341131
"18","Adams-Illinois","2012",0.186443490328053,0,0,0.158386659444547
"19","Adams-Illinois","2013",0.452627143853295,0,0,0.186443490328053
"20","Adams-Illinois","2014",0.958106064561581,1,0,0.452627143853295
"37","Albert-New Brunswick","2007",1.1511375309943e-06,0,0,0.999999999923286
"38","Albert-New Brunswick","2008",5.0984778939319e-06,0,0,1.1511375309943e-06
"39","Albert-New Brunswick","2009",1.20177748448341e-05,0,0,5.0984778939319e-06
"40","Albert-New Brunswick","2010",0.169550995077959,1,0,1.20177748448341e-05
"49","Alexander-Illinois","2007",1.23702072104349e-12,0,0,1
"50","Alexander-Illinois","2008",2.05150633525301e-07,0,0,1.23702072104349e-12
"51","Alexander-Illinois","2009",0.00629760912275538,0,0,2.05150633525301e-07
"52","Alexander-Illinois","2010",0.0296018166037486,0,0,0.00629760912275538
"53","Alexander-Illinois","2011",0.130361904539192,0,0,0.0296018166037486
"54","Alexander-Illinois","2012",0.358090161890469,0,0,0.130361904539192
"55","Alexander-Illinois","2013",0.411310786395199,0,0,0.358090161890469
"56","Alexander-Illinois","2014",0.988033888447602,1,0,0.411310786395199
"61","Alger-Michigan","2007",5.87979632571941e-09,0,0,0.999997810475449
"62","Alger-Michigan","2008",1.56812307372951e-08,0,0,5.87979632571941e-09
"63","Alger-Michigan","2009",1.84469769940163e-05,0,0,1.56812307372951e-08
"64","Alger-Michigan","2010",0.0040624033409483,0,0,1.84469769940163e-05
"65","Alger-Michigan","2011",0.00451372632296913,0,0,0.0040624033409483
"66","Alger-Michigan","2012",0.00474394692513552,0,0,0.00451372632296913
"67","Alger-Michigan","2013",0.519915319325912,0,0,0.00474394692513552
"68","Alger-Michigan","2014",0.964968767652485,1,0,0.519915319325912
"73","Algoma Dist. (Part 1 Of)-Ontario","2007",1.71271775803665e-07,0,0,0.999999999991758
"74","Algoma Dist. (Part 1 Of)-Ontario","2008",3.5993896127113e-07,0,0,1.71271775803665e-07
"75","Algoma Dist. (Part 1 Of)-Ontario","2009",0.00261694193507724,0,0,3.5993896127113e-07
"76","Algoma Dist. (Part 1 Of)-Ontario","2010",0.0120684166356646,1,0,0.00261694193507724
"85","Algoma Dist. (Part 2 Of)-Ontario","2007",1.90481601743497e-05,0,0,0.999999999996225
"86","Algoma Dist. (Part 2 Of)-Ontario","2008",3.90011784219508e-05,0,0,1.90481601743497e-05
"87","Algoma Dist. (Part 2 Of)-Ontario","2009",0.0639760917495006,0,0,3.90011784219508e-05
"88","Algoma Dist. (Part 2 Of)-Ontario","2010",0.207244522192613,0,0,0.0639760917495006
"89","Algoma Dist. (Part 2 Of)-Ontario","2011",0.209862623075859,1,0,0.207244522192613
"97","Algoma Dist. (Part 3 Of)-Ontario","2007",1.09330843150844e-07,0,0,0.999999999895178
"98","Algoma Dist. (Part 3 Of)-Ontario","2008",2.2888314353311e-07,0,0,1.09330843150844e-07
"99","Algoma Dist. (Part 3 Of)-Ontario","2009",0.00294552492085473,0,0,2.2888314353311e-07
"100","Algoma Dist. (Part 3 Of)-Ontario","2010",0.796094332770972,0,0,0.00294552492085473
"101","Algoma Dist. (Part 3 Of)-Ontario","2011",0.807396586963874,0,0,0.796094332770972
"102","Algoma Dist. (Part 3 Of)-Ontario","2012",0.897106655557043,0,0,0.807396586963874
"103","Algoma Dist. (Part 3 Of)-Ontario","2013",0.935741892757585,1,0,0.897106655557043
"109","Algoma District (Part 4 of)-Ontario","2007",9.31040439524964e-07,0,0,0.999999999998692
"110","Algoma District (Part 4 of)-Ontario","2008",2.04218052415801e-06,0,0,9.31040439524964e-07
"111","Algoma District (Part 4 of)-Ontario","2009",0.00365145629473607,0,0,2.04218052415801e-06
"112","Algoma District (Part 4 of)-Ontario","2010",0.168850101697039,0,0,0.00365145629473607
"113","Algoma District (Part 4 of)-Ontario","2011",0.345870737346201,0,0,0.168850101697039
"114","Algoma District (Part 4 of)-Ontario","2012",0.393406081085972,0,0,0.345870737346201
"115","Algoma District (Part 4 of)-Ontario","2013",0.788080512169942,0,0,0.393406081085972
"116","Algoma District (Part 4 of)-Ontario","2014",0.995522060431656,1,0,0.788080512169942
"121","Allegany-Maryland","2007",5.15320438342627e-05,0,0,0.999999999955072
"122","Allegany-Maryland","2008",0.0433606741424524,0,0,5.15320438342627e-05
"123","Allegany-Maryland","2009",0.218535000725263,1,0,0.0433606741424524
"133","Alleghany-Virginia","2007",5.63292474051952e-07,0,0,0.999998780620864
"134","Alleghany-Virginia","2008",0.192852453996078,0,0,5.63292474051952e-07
"135","Alleghany-Virginia","2009",0.615293612469485,0,0,0.192852453996078
"136","Alleghany-Virginia","2010",0.97500983070756,1,0,0.615293612469485
"145","Alpena-Michigan","2007",6.34120095895818e-06,0,0,0.999853331278509
"146","Alpena-Michigan","2008",1.86236821675232e-05,0,0,6.34120095895818e-06
"147","Alpena-Michigan","2009",0.0176449163106148,0,0,1.86236821675232e-05
"148","Alpena-Michigan","2010",0.084717666000586,0,0,0.0176449163106148
"149","Alpena-Michigan","2011",0.13849130451712,0,0,0.084717666000586
"150","Alpena-Michigan","2012",0.142058393464339,0,0,0.13849130451712
"151","Alpena-Michigan","2013",0.244221937969737,1,0,0.142058393464339
"157","Anderson-Tennessee","2007",1.72882962450043e-10,0,0,0.99999999799303
"158","Anderson-Tennessee","2008",0.000800860143487137,0,0,1.72882962450043e-10
"159","Anderson-Tennessee","2009",0.00664210793799329,0,0,0.000800860143487137
"160","Anderson-Tennessee","2010",0.0224770016231605,0,0,0.00664210793799329
"161","Anderson-Tennessee","2011",0.195794906511157,0,0,0.0224770016231605
"162","Anderson-Tennessee","2012",0.712981062219031,0,0,0.195794906511157
"163","Anderson-Tennessee","2013",0.962971571438143,1,0,0.712981062219031
"169","Annapolis-Nova Scotia","2007",6.89621838761514e-06,0,0,0.976400137249498
"170","Annapolis-Nova Scotia","2008",3.4163541868363e-05,0,0,6.89621838761514e-06
"171","Annapolis-Nova Scotia","2009",6.07172523098539e-05,0,0,3.4163541868363e-05
"172","Annapolis-Nova Scotia","2010",0.524101820927489,0,0,6.07172523098539e-05
"173","Annapolis-Nova Scotia","2011",0.702191501994746,0,0,0.524101820927489
"174","Annapolis-Nova Scotia","2012",0.71741112274031,1,0,0.702191501994746
"181","Antigonish-Nova Scotia","2007",2.62548308796805e-08,0,0,1
"182","Antigonish-Nova Scotia","2008",1.22602129551438e-07,0,0,2.62548308796805e-08
"183","Antigonish-Nova Scotia","2009",2.40674807449995e-07,0,0,1.22602129551438e-07
"184","Antigonish-Nova Scotia","2010",0.070659035434708,0,0,2.40674807449995e-07
"185","Antigonish-Nova Scotia","2011",0.154243858585876,0,0,0.070659035434708
"186","Antigonish-Nova Scotia","2012",0.726875763611868,1,0,0.154243858585876
"193","Antoine-Labelle-Qu̩bec","2007",0.00906290797749136,0,0,1
"194","Antoine-Labelle-Qu̩bec","2008",0.0381089876494059,0,0,0.00906290797749136
"195","Antoine-Labelle-Qu̩bec","2009",0.254668733345128,0,0,0.0381089876494059
"196","Antoine-Labelle-Qu̩bec","2010",0.93961192792961,0,0,0.254668733345128
"197","Antoine-Labelle-Qu̩bec","2011",0.965321111145395,0,0,0.93961192792961
"198","Antoine-Labelle-Qu̩bec","2012",0.96815467900971,0,0,0.965321111145395
"199","Antoine-Labelle-Qu̩bec","2013",0.999977387293459,0,0,0.96815467900971
"200","Antoine-Labelle-Qu̩bec","2014",0.999986380974228,1,0,0.999977387293459
"205","Armstrong-Pennsylvania","2007",8.12647720958448e-05,0,0,0.999999999997425
"206","Armstrong-Pennsylvania","2008",0.0212359733936719,0,0,8.12647720958448e-05
"207","Armstrong-Pennsylvania","2009",0.16719653319023,0,0,0.0212359733936719
"208","Armstrong-Pennsylvania","2010",0.314955173212976,0,0,0.16719653319023
"209","Armstrong-Pennsylvania","2011",0.959510524880655,1,0,0.314955173212976
"217","Ashland-Ohio","2007",1.75083175941287e-06,0,0,0.999999659443125
"218","Ashland-Ohio","2008",0.000627720831432922,0,0,1.75083175941287e-06
"219","Ashland-Ohio","2009",0.0150385404751845,0,0,0.000627720831432922
"220","Ashland-Ohio","2010",0.021956380829293,0,0,0.0150385404751845
"221","Ashland-Ohio","2011",0.315967059806307,0,0,0.021956380829293
"222","Ashland-Ohio","2012",0.94666202703157,1,0,0.315967059806307
"229","Athens-Ohio","2007",8.43877134427703e-07,0,0,0.999997856519712
"230","Athens-Ohio","2008",0.0110584336402671,0,0,8.43877134427703e-07
"231","Athens-Ohio","2009",0.0469763985161591,0,0,0.0110584336402671
"232","Athens-Ohio","2010",0.179064416682165,0,0,0.0469763985161591
"233","Athens-Ohio","2011",0.233059676769504,0,0,0.179064416682165
"234","Athens-Ohio","2012",0.582800143624868,1,0,0.233059676769504
"241","Augusta-Virginia","2007",4.6377690542654e-06,0,0,0.999908270382021
"242","Augusta-Virginia","2008",0.358719264047162,0,0,4.6377690542654e-06
"243","Augusta-Virginia","2009",0.69062541627895,0,0,0.358719264047162
"244","Augusta-Virginia","2010",0.955547152361561,1,0,0.69062541627895
"253","Avery-North Carolina","2007",3.67663363895154e-09,0,0,0.999963205756904
"254","Avery-North Carolina","2008",0.0423392035062949,0,0,3.67663363895154e-09
"255","Avery-North Carolina","2009",0.270142255735397,0,0,0.0423392035062949
"256","Avery-North Carolina","2010",0.539927507137686,1,0,0.270142255735397
"265","Bandera-Texas","2007",4.74469532128046e-22,0,0,0.950333545613502
"266","Bandera-Texas","2008",1.49930770842016e-16,0,0,4.74469532128046e-22
"267","Bandera-Texas","2009",7.24756711083193e-11,0,0,1.49930770842016e-16
"268","Bandera-Texas","2010",7.44010805429895e-11,0,0,7.24756711083193e-11
"269","Bandera-Texas","2011",9.12553276340497e-10,0,0,7.44010805429895e-11
"270","Bandera-Texas","2012",9.78970330370258e-10,0,0,9.12553276340497e-10
"271","Bandera-Texas","2013",6.51700322601108e-09,0,0,9.78970330370258e-10
"272","Bandera-Texas","2014",2.19038343505698e-07,0,0,6.51700322601108e-09
"273","Bandera-Texas","2015",2.7489827866198e-07,0,0,2.19038343505698e-07
"274","Bandera-Texas","2016",0.000236660279254269,0,0,2.7489827866198e-07
