,X1,year,county,yc,incidence,year_c,year_f
1,41,2006,St. Louis-Minnesota,2006-St. Louis-Minnesota,0,0,2006
2,20,2007,St. Louis-Minnesota,2007-St. Louis-Minnesota,0,1,2007
3,14,2008,St. Louis-Minnesota,2008-St. Louis-Minnesota,0,2,2008
4,10,2009,St. Louis-Minnesota,2009-St. Louis-Minnesota,0,3,2009
5,9,2010,St. Louis-Minnesota,2010-St. Louis-Minnesota,0,4,2010
6,22,2011,St. Louis-Minnesota,2011-St. Louis-Minnesota,0,5,2011
7,7,2012,St. Louis-Minnesota,2012-St. Louis-Minnesota,0,6,2012
8,38,2013,St. Louis-Minnesota,2013-St. Louis-Minnesota,0,7,2013
9,32,2014,St. Louis-Minnesota,2014-St. Louis-Minnesota,0,8,2014
10,1,2015,St. Louis-Minnesota,2015-St. Louis-Minnesota,1,9,2015
11,8,2016,St. Louis-Minnesota,2016-St. Louis-Minnesota,1,10,2016
12,292,2017,St. Louis-Minnesota,2017-St. Louis-Minnesota,1,11,2017
13,2,2018,St. Louis-Minnesota,2018-St. Louis-Minnesota,1,12,2018
14,592,2006,Lake-Minnesota,2006-Lake-Minnesota,0,0,2006
15,571,2007,Lake-Minnesota,2007-Lake-Minnesota,0,1,2007
16,565,2008,Lake-Minnesota,2008-Lake-Minnesota,0,2,2008
17,561,2009,Lake-Minnesota,2009-Lake-Minnesota,0,3,2009
18,560,2010,Lake-Minnesota,2010-Lake-Minnesota,0,4,2010
19,573,2011,Lake-Minnesota,2011-Lake-Minnesota,0,5,2011
20,558,2012,Lake-Minnesota,2012-Lake-Minnesota,0,6,2012
21,589,2013,Lake-Minnesota,2013-Lake-Minnesota,0,7,2013
22,583,2014,Lake-Minnesota,2014-Lake-Minnesota,0,8,2014
23,552,2015,Lake-Minnesota,2015-Lake-Minnesota,0,9,2015
24,559,2016,Lake-Minnesota,2016-Lake-Minnesota,0,10,2016
25,843,2017,Lake-Minnesota,2017-Lake-Minnesota,0,11,2017
26,553,2018,Lake-Minnesota,2018-Lake-Minnesota,1,12,2018
27,1143,2006,King-Washington,2006-King-Washington,0,0,2006
28,1122,2007,King-Washington,2007-King-Washington,0,1,2007
29,1116,2008,King-Washington,2008-King-Washington,0,2,2008
30,1112,2009,King-Washington,2009-King-Washington,0,3,2009
31,1111,2010,King-Washington,2010-King-Washington,0,4,2010
32,1124,2011,King-Washington,2011-King-Washington,0,5,2011
33,1109,2012,King-Washington,2012-King-Washington,0,6,2012
34,1140,2013,King-Washington,2013-King-Washington,0,7,2013
35,1134,2014,King-Washington,2014-King-Washington,0,8,2014
36,1103,2015,King-Washington,2015-King-Washington,1,9,2015
37,1110,2016,King-Washington,2016-King-Washington,1,10,2016
38,1394,2017,King-Washington,2017-King-Washington,1,11,2017
39,1104,2018,King-Washington,2018-King-Washington,1,12,2018
40,1694,2006,Becker-Minnesota,2006-Becker-Minnesota,0,0,2006
41,1673,2007,Becker-Minnesota,2007-Becker-Minnesota,0,1,2007
42,1667,2008,Becker-Minnesota,2008-Becker-Minnesota,0,2,2008
43,1663,2009,Becker-Minnesota,2009-Becker-Minnesota,0,3,2009
44,1662,2010,Becker-Minnesota,2010-Becker-Minnesota,0,4,2010
45,1675,2011,Becker-Minnesota,2011-Becker-Minnesota,0,5,2011
46,1660,2012,Becker-Minnesota,2012-Becker-Minnesota,0,6,2012
47,1691,2013,Becker-Minnesota,2013-Becker-Minnesota,0,7,2013
48,1685,2014,Becker-Minnesota,2014-Becker-Minnesota,0,8,2014
49,1654,2015,Becker-Minnesota,2015-Becker-Minnesota,1,9,2015
50,1661,2016,Becker-Minnesota,2016-Becker-Minnesota,1,10,2016
51,1945,2017,Becker-Minnesota,2017-Becker-Minnesota,1,11,2017
52,1655,2018,Becker-Minnesota,2018-Becker-Minnesota,1,12,2018
53,2245,2006,Douglas-Wisconsin,2006-Douglas-Wisconsin,0,0,2006
54,2224,2007,Douglas-Wisconsin,2007-Douglas-Wisconsin,0,1,2007
55,2218,2008,Douglas-Wisconsin,2008-Douglas-Wisconsin,0,2,2008
56,2214,2009,Douglas-Wisconsin,2009-Douglas-Wisconsin,0,3,2009
57,2213,2010,Douglas-Wisconsin,2010-Douglas-Wisconsin,0,4,2010
58,2226,2011,Douglas-Wisconsin,2011-Douglas-Wisconsin,0,5,2011
59,2211,2012,Douglas-Wisconsin,2012-Douglas-Wisconsin,0,6,2012
