"","maxdist","meandist","infayear","years","type"
"1",1110.46209432439,271.477591734602,27,2008,"Observed"
"2",1816.12299968107,452.66827913453,40,2009,"Observed"
"3",2511.81777966771,582.084138293408,54,2010,"Observed"
"4",2631.27451007472,695.362439630515,58,2011,"Observed"
"5",2741.12417956058,783.701406530134,77,2012,"Observed"
"6",2876.24213699809,857.143257707146,72,2013,"Observed"
"7",3128.65105937827,921.424361593448,64,2014,"Observed"
"8",3128.65105937827,955.814546434858,40,2015,"Observed"
"9",3749.99388692502,989.456931580267,53,2016,"Observed"
"10",4022.67613668108,1029.9233968245,26,2017,"Observed"
"11",4248.79570090774,1072.5216171805,21,2018,"Observed"
"12",2255.44483972591,711.382708077542,25,2008,"Projected"
"13",2554.37793580427,892.471928793892,29,2009,"Projected"
"14",3114.95277918939,923.655676086252,57,2010,"Projected"
"15",3078.8872875084,967.736732095548,79,2011,"Projected"
"16",3283.90183473727,992.494758165453,71,2012,"Projected"
"17",4018.30741296964,938.920148209863,78,2013,"Projected"
"18",3362.30021024985,904.490825427761,64,2014,"Projected"
"19",3482.93493902942,998.761670402257,47,2015,"Projected"
"20",3633.30086913688,1043.95533411496,28,2016,"Projected"
"21",3438.30822408771,1081.94414322391,20,2017,"Projected"
"22",2431.79819127928,1139.08727498484,10,2018,"Projected"
