"","dseq","thetaseq","rhoseq","offsetseq","logsdcountyseq","logsdyearsseq","X","d","theta","rho","offsets","logsdcounty","logsdyears","optimll"
"1",10,0.5,0.01,0.01,0,0,1,-10.7186676225324,0.56035373584273,-1.7621048019274,-7.07796579960954,0.410249187836814,-0.376359096097116,968.738017719319
"2",60,0.5,0.01,0.01,0,0,2,-10.7182233635082,0.560499374930854,-1.76816668975499,-7.07308254281436,0.409708704536985,-0.376092985589394,968.722358799956
"3",110,0.5,0.01,0.01,0,0,3,-10.5230445863012,0.583374101090146,-1.72729386701698,-7.02350331369157,0.424990829235157,-0.381180138990172,968.860902207931
"4",160,0.5,0.01,0.01,0,0,4,-10.9016520093503,0.534503967924525,-13.3172131279321,-6.8316639788867,0.281924871047642,-0.391875936202828,974.354004480705
"5",10,1.5,0.01,0.01,0,0,5,2.29558079550942,1.46236768871513,-0.641266662588962,-3.67334330253759,-0.961618396304788,-21.6444700173623,1318.3052387303
"6",60,1.5,0.01,0.01,0,0,6,4.09394844320434,1.49741857859983,-0.640938076017064,-3.67404045957444,-0.960630353958735,-21.6443753784687,1318.30555557198
"7",110,1.5,0.01,0.01,0,0,7,4.70032173800309,1.4989025689388,-0.6409374933869,-3.67404024373237,-0.960631047117215,-21.6443713077047,1318.30556606411
"8",160,1.5,0.01,0.01,0,0,8,5.07508356536775,1.49935315772043,-0.640937472306741,-3.67404024096966,-0.960630745337627,-21.6443701280926,1318.30556905385
"9",10,2.5,0.01,0.01,0,0,9,2.30258199862038,2.49999001063115,-0.640936882828962,-3.67403966264517,-0.960632635961955,-21.6443685997564,1318.30557290066
"10",60,2.5,0.01,0.01,0,0,10,4.09434452713251,2.49999986157384,-0.640936880726366,-3.67403965931108,-0.960632636341081,-21.6443685654373,1318.30557297479
"11",110,2.5,0.01,0.01,0,0,11,4.70048035808206,2.49999996771373,-0.640936880707632,-3.67403965928121,-0.960632636344516,-21.6443685651246,1318.30557297525
"12",160,2.5,0.01,0.01,0,0,12,5.07517381221209,2.49999998689393,-0.640936880704334,-3.67403965927606,-0.960632636344923,-21.6443685650649,1318.30557297523
"13",10,0.5,0.5,0.01,0,0,13,-10.7156890311974,0.560806952932353,-1.767239099819,-7.0734891734381,0.409478361710123,-0.376257236995361,968.720444392962
"14",60,0.5,0.5,0.01,0,0,14,-11.8674233603221,0.430813099808721,-1.55905161477521,-7.54384831667205,0.212779622041758,-6.12697573847864,989.591541599755
"15",110,0.5,0.5,0.01,0,0,15,-7.86266174581757,52.4179195360865,-3.62745490091027,-4.50517524497142,-0.579844005513142,-7.11682576452671,1070.13653628343
"16",160,0.5,0.5,0.01,0,0,16,-10.7163447324773,0.560719271093183,-1.76720888895843,-7.07367127881801,0.40944877817034,-0.376288414169614,968.721982238237
"17",10,1.5,0.5,0.01,0,0,17,2.30041259891789,1.4884208837726,-0.42856850149324,-3.59875950468521,-8.06813366572453,-10.7284574257882,1323.75636840378
"18",60,1.5,0.5,0.01,0,0,18,4.09420134810728,1.49906755595573,-0.428573269321472,-3.5987602373105,-8.06806960196139,-10.7284192588295,1323.75662021669
"19",110,1.5,0.5,0.01,0,0,19,4.70042278259225,1.49960186357861,-0.428573193211751,-3.59876014481238,-8.06806678814604,-10.7284176464071,1323.75663025627
"20",160,1.5,0.5,0.01,0,0,20,5.07514101041949,1.49976499823124,-0.428573171048021,-3.59876011396511,-8.06806597173439,-10.7284171797791,1323.75663314963
"21",10,2.5,0.5,0.01,0,0,21,2.30258396228623,2.49999635115076,-0.428573159006066,-3.59876006523325,-8.06806491011675,-10.7284165737905,1323.75663689766
"22",60,2.5,0.5,0.01,0,0,22,4.09434454939977,2.49999994943192,-0.428573137841279,-3.59876007117371,-8.06806488935257,-10.7284165620848,1323.75663697024
"23",110,2.5,0.5,0.01,0,0,23,4.70048036297492,2.49999998820538,-0.428573158306213,-3.59876006435379,-8.06806488919416,-10.7284165619797,1323.75663697083
"24",160,2.5,0.5,0.01,0,0,24,5.07517381412963,2.49999999521213,-0.428573055289012,-3.59876009863275,-8.06806488902723,-10.728416561962,1323.75663697102
"25",10,0.5,0.99,0.01,0,0,25,2.23263041992528,3.40341759571591,-0.640952359470182,-3.67403207220572,-0.960596819060816,-5.43851505147204,1318.30611314455
"26",60,0.5,0.99,0.01,0,0,26,4.04649928954831,2.05239673393818,-0.641696282491051,-3.67365796307042,-0.961407205153053,-4.88223513977988,1318.30722199831
"27",110,0.5,0.99,0.01,0,0,27,4.52628591710973,1.85311886148998,-1.03658883254349,-14.2593396722385,-0.176491245763303,-4.42426012303603,1325.09361548719
"28",160,0.5,0.99,0.01,0,0,28,-10.7181692114515,0.560513330443575,-1.76728069405529,-7.07553584164787,0.40947487279071,-0.376312197617942,968.722696850561
"29",10,1.5,0.99,0.01,0,0,29,-7.76201589193228,63.8172322181418,-1.63021788042521,-4.87739362379004,0.340690168627217,-0.268819265786732,1028.00326361766
"30",60,1.5,0.99,0.01,0,0,30,4.09067304869699,1.47604817628823,-0.64093159578172,-3.67403907163164,-0.960605173657385,-6.50403897179315,1318.30561553336
"31",110,1.5,0.99,0.01,0,0,31,4.69903652886347,1.49001229675937,-0.64093119923327,-3.67403843300496,-0.96060508929085,-6.500345103741,1318.30562998158
"32",160,1.5,0.99,0.01,0,0,32,5.07435677352924,1.49414664441381,-0.640931060899055,-3.67403831846465,-0.960605019782976,-6.4998799495651,1318.30563348573
"33",10,2.5,0.99,0.01,0,0,33,2.30255703696066,2.4999095367804,-0.640930918460704,-3.6740381508323,-0.960604976301301,-6.4996497352382,1318.30563759385
"34",60,2.5,0.99,0.01,0,0,34,4.09434424410421,2.49999874627783,-0.640930915778852,-3.67403814778931,-0.960604975503866,-6.49964964410606,1318.30563766812
"35",110,2.5,0.99,0.01,0,0,35,4.70048029589076,2.4999997075653,-0.640930940072498,-3.67403811748456,-0.960605011025686,-6.49965465813243,1318.30563766824
"36",160,2.5,0.99,0.01,0,0,36,5.0751737878392,2.49999988128833,-0.640930915721366,-3.67403814779402,-0.96060497545264,-6.49964963686626,1318.305637669
"37",10,0.5,0.01,1.01,0,0,37,-10.7160041426054,0.560763372482065,-1.76723906625805,-7.07351020646425,0.409450944581456,-0.376271268660883,968.721313949762
"38",60,0.5,0.01,1.01,0,0,38,-10.7159145727865,0.560790934370655,-1.76318364127238,-7.07076656281426,0.409900095162103,-0.376336879886235,968.715152504829
"39",110,0.5,0.01,1.01,0,0,39,-10.7159389094005,0.560773295576276,-1.7670482456355,-7.07356433101503,0.409476762040012,-0.376262024370593,968.721042685242
"40",160,0.5,0.01,1.01,0,0,40,-10.7160023840677,0.560762103553042,-1.76727646551935,-7.07357966307325,0.409436736195669,-0.37627176488764,968.721587472194
"41",10,1.5,0.01,1.01,0,0,41,-10.7228957134231,0.559961797259163,-1.76673729136933,-7.07107656900884,0.409424158306968,-0.375491225109059,968.720202336136
"42",60,1.5,0.01,1.01,0,0,42,4.09075786908156,1.47662550392,-0.641514731059964,-3.67465244767452,-0.96111333273399,-5.37549998314963,1318.30616665021
"43",110,1.5,0.01,1.01,0,0,43,4.69905818791305,1.49016661259008,-0.641513686508465,-3.67465108699055,-0.961112462636856,-5.3748200358887,1318.30618133841
"44",160,1.5,0.01,1.01,0,0,44,5.07436709127807,1.49422226674364,-0.641513498562374,-3.6746508337836,-0.961112340241991,-5.37473341189603,1318.30618487894
"45",10,2.5,0.01,1.01,0,0,45,2.3025572766203,2.49991031462921,-0.641513329699251,-3.67465059610598,-0.961112267867679,-5.37468986853463,1318.30618900675
"46",60,2.5,0.01,1.01,0,0,46,4.09434424680794,2.4999987569893,-0.641513327335897,-3.67465059259018,-0.961112267581281,-5.37468985969166,1318.3061890811
"47",110,2.5,0.01,1.01,0,0,47,4.70048029648542,2.49999971006538,-0.641513327314897,-3.67465059255885,-0.961112267578845,-5.37468985951371,1318.30618908183
"48",160,2.5,0.01,1.01,0,0,48,5.07517378807201,2.49999988230201,-0.641513327311528,-3.67465059255367,-0.961112267578751,-5.37468985951444,1318.30618908189
"49",10,0.5,0.5,1.01,0,0,49,-10.7158217993037,0.560788327299099,-1.76723750325099,-7.07343069154064,0.409453763366751,-0.37627024988147,968.720749557507
"50",60,0.5,0.5,1.01,0,0,50,-11.8769706778229,0.430178641725817,-1.55895764725526,-7.54618888843093,0.212833365912539,-6.62039835591326,989.593950729504
"51",110,0.5,0.5,1.01,0,0,51,-10.7160246619157,0.560761837803381,-1.76717738527004,-7.07352561474423,0.409467398886853,-0.376266691044504,968.721214489015
"52",160,0.5,0.5,1.01,0,0,52,-10.7165600383265,0.560697000167802,-1.7671891732773,-7.07366969691634,0.409435503298446,-0.376272715445284,968.721596426124
"53",10,1.5,0.5,1.01,0,0,53,-10.7160167828024,0.560762924373475,-1.76718244686923,-7.07351386171765,0.409466898757993,-0.376257506612869,968.721208577031
"54",60,1.5,0.5,1.01,0,0,54,4.08492035596379,1.43838377566367,-0.641012609773682,-3.67411631313276,-0.960711304065108,-7.28436508042343,1318.30555503092
