"","FID","WNS_MAP_YR","WNS_STATUS","YR_SUSPECT","YR_CONFIRM","SAMPLEDATE","STATEPROV","COUNTYNAME","FIPS","COUNTRY","suspect1","suspect2","confirm1","confirm2","smooth","county","date","year","rownumber","GC","Title","lon","lat","Date","Type","User","Log","title","url","country","numfinds","numpage","wns.map.yr","r.suspect","yr.confirm"
"1",0,"2015-16","Confirmed","2011-12","2015-16","02/00/2016","Minnesota","St. Louis","27137","United States",1.325376e+12,1420070400000,1451606400000,4070908800000,16,"St. Louis-Minnesota",2015-01-01,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,2011-01-01,2015-01-01
"2",1,"2018-19","Confirmed","2015-16","2018-19","02/00/2016","Minnesota","Lake","27075","United States",1451606400000,1514764800000,1546300800000,4070908800000,19,"Lake-Minnesota",2018-01-01,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-01,2015-01-01,2018-01-01
"3",2,"2015-16","Confirmed"," ","2015-16"," ","Washington","King","53033","United States",-27107481600000,-27107481600000,1451606400000,4070908800000,16,"King-Washington",2015-01-01,2015,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,2015-01-01
"4",3,"2015-16","Confirmed"," ","2015-16","05/01/2016","Minnesota","Becker","27005","United States",-27107481600000,-27107481600000,1451606400000,4070908800000,16,"Becker-Minnesota",2015-01-01,2015,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,2015-01-01
"5",4,"2015-16","Confirmed"," ","2015-16"," ","Wisconsin","Douglas","55031","United States",-27107481600000,-27107481600000,1451606400000,4070908800000,16,"Douglas-Wisconsin",2015-01-01,2015,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,2015-01-01
"6",5,"2015-16","Suspect","2015-16"," "," ","Wisconsin","Iron","55051","United States",1451606400000,4070908800000,-27107481600000,-27107481600000,16,"Iron-Wisconsin",2015-01-01,2015,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,2015-01-01,NA
"7",6,"2012-13","Suspect","2012-13"," "," ","Maine","Piscataquis","23021","United States",1356998400000,4070908800000,-27107481600000,-27107481600000,13,"Piscataquis-Maine",2012-01-01,2012,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-01-01,2012-01-01,NA
"8",7,"2016-17","Confirmed","2015-16","2016-17","03/10/2016","Minnesota","Pine","27115","United States",1451606400000,1451606400000,1483228800000,4070908800000,17,"Pine-Minnesota",2016-01-01,2016,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-01,2015-01-01,2016-01-01
"9",8,"2010-11","Confirmed"," ","2010-11"," ","Maine","Oxford","23017","United States",-27107481600000,-27107481600000,1.29384e+12,4070908800000,11,"Oxford-Maine",2010-01-01,2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-01,NA,2010-01-01
"10",9,"2009-10","Confirmed"," ","2009-10"," ","New Hampshire","Coos","33007","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Coos-New Hampshire",2009-01-01,2009,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-01-01,NA,2009-01-01
"11",10,"2015-16","Confirmed"," ","2015-16","04/00/2016","Minnesota","Washington","27163","United States",-27107481600000,-27107481600000,1451606400000,4070908800000,16,"Washington-Minnesota",2015-01-01,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,2015-01-01
"12",11,"2016-17","Confirmed","2016-17","2016-17","03/01/2017","Minnesota","Hennepin","27053","United States",1483228800000,1483228800000,1483228800000,4070908800000,17,"Hennepin-Minnesota",2016-01-01,2016,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-01,2016-01-01,2016-01-01
"13",12,"2016-17","Confirmed","2016-17","2016-17","02/01/2017","Minnesota","Ramsey","27123","United States",1483228800000,1483228800000,1483228800000,4070908800000,17,"Ramsey-Minnesota",2016-01-01,2016,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-01,2016-01-01,2016-01-01
"14",13,"2008-09","Confirmed"," ","2008-09"," ","New York","Clinton","36019","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Clinton-New York",2008-01-01,2008,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"15",14,"2008-09","Confirmed"," ","2008-09"," ","New York","Franklin","36033","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Franklin-New York",2008-01-01,2008,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"16",15,"2016-17","Confirmed"," ","2016-17","02/01/2017","Minnesota","Dakota","27037","United States",-27107481600000,-27107481600000,1483228800000,4070908800000,17,"Dakota-Minnesota",2016-01-01,2016,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-01,NA,2016-01-01
"17",16,"2015-16","Confirmed"," ","2015-16"," ","Wisconsin","Pierce","55093","United States",-27107481600000,-27107481600000,1451606400000,4070908800000,16,"Pierce-Wisconsin",2015-01-01,2015,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,2015-01-01
"18",17,"2009-10","Confirmed"," ","2009-10"," ","Vermont","Lamoille","50015","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Lamoille-Vermont",2009-01-01,2009,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-01-01,NA,2009-01-01
"19",18,"2016-17","Confirmed"," ","2016-17","03/01/2017","Minnesota","Goodhue","27049","United States",-27107481600000,-27107481600000,1483228800000,4070908800000,17,"Goodhue-Minnesota",2016-01-01,2016,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-01,NA,2016-01-01
"20",19,"2007-08","Confirmed"," ","2007-08"," ","New York","Essex","36031","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Essex-New York",2007-01-01,2007,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-01,NA,2007-01-01
"21",20,"2008-09","Confirmed"," ","2008-09"," ","Vermont","Washington","50023","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Washington-Vermont",2008-01-01,2008,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"22",21,"2011-12","Confirmed"," ","2011-12"," ","Maine","Hancock","23009","United States",-27107481600000,-27107481600000,1.325376e+12,4070908800000,12,"Hancock-Maine",2011-01-01,2011,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-01-01,NA,2011-01-01
"23",22,"2008-09","Confirmed"," ","2008-09"," ","New Hampshire","Grafton","33009","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Grafton-New Hampshire",2008-01-01,2008,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"24",23,"2007-08","Confirmed"," ","2007-08"," ","Vermont","Orange","50017","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Orange-Vermont",2007-01-01,2007,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-01,NA,2007-01-01
"25",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-09-21,"Type.found_it","DASE","<p>Was doing a nearby cache so I decided to check up on this one.  Everything was fine, although I did find a small toy on the floor in the cave.</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"26",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-30,"Type.found_it","oneshotlogger","<p>Great hide! Its been years sence I've been in here. Came in with taply trackers and my pal. Thanks for bring us here. TNLN</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"27",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-30,"Type.found_it","harrington_hunter","<p>First find of the day with oneshotlogger.  Great hide!  A family showed up and my father (oneshotlogger) said to one of the kids &quot;Are you looking for the same thing I am.&quot;  The perfect answer - &quot;I don't know - what are you looking for?!?&quot;  Again, great hide.  T: wooden coin L: anti-bacterial hand cleaner on caribeaner found at Round Up Reunion cache.</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"28",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-24,"Type.found_it","N4387K","<p>This cache is what the geo cache sport is all about.  Takes you to a really neat place.  The cache is hid well but not impossible.  I'm 6'1&quot; tall and 220lbs.  Slid in whith no trouble.  Just got dirty and wet.  Hint.  Go in right shoulder first.  You can't turn around in the cave.  Plan on getting dirty.  Falls is very impressive with all the rain we have been getting.  TNLN  SL  TFTC</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
