"","STATION","DATE","LATITUDE","LONGITUDE","NAME","MIN"
"1","71099099999","2007-01-01","56.0166666","-87.6833333","FORT SEVERN, CA","   2.7"
"2","71684099999","2007-01-01","47.7","-79.85","TIMISKAMING REGIONAL EARLTON, CA","  26.1"
"3","71696099999","2007-01-01","58.72","-94.07","CHURCHILL CLIMATE, CA","  -0.6"
"4","71697199999","2007-01-01","52.2","-87.93","LANSDOWNE HOUSE LWIS, CA","   3.2"
"5","71744099999","2007-01-01","47.0166666","-65.4666666","MIRAMICHI RCS, CA","   5.0"
"6","71746099999","2007-01-01","43.0","-82.3","SARNIA CLIMATE, CA","  32.5"
"7","71752099999","2007-01-01","42.97","-79.33","WELLAND PELHAM, CA","  40.1"
"8","71753099999","2007-01-01","45.23","-63.05","UPPER STEWIACKE RCS, CA","  16.9"
"9","71755099999","2007-01-01","53.43","-91.77","MUSKRAT DAM A, CA","  -3.3"
"10","71758099999","2007-01-01","46.17","-60.05","SYDNEY RCS, CA","  20.5"
"11","72012063837","2007-01-01","32.21667","-80.7","HILTON HEAD ISLAND AIRPORT, SC US","  59.0"
"12","72013704867","2007-01-01","41.42528","-88.41861","MORRIS MUNICIPAL JR WASHBURN FIELD AIRPORT, IL US","  33.8"
"13","72015103049","2007-01-01","30.38333","-103.68333","ALPINE CASPARIS MUNICIPAL AIRPORT, TX US","  23.0"
"14","72017063851","2007-01-01","37.18583","-88.75056","METROPOLIS MUNICIPAL AIRPORT, IL US","  35.6"
"15","72017253996","2007-01-01","34.54528","-94.2025","MENA INTERMOUNTAIN MUNICIPAL AIRPORT, AR US","  35.6"
"16","72019854813","2007-01-01","46.412036","-86.650452","MUNSING LAKESHORE, MI US","  34.0"
"17","72025763835","2007-01-01","31.39694","-84.89528","EARLY CO AIRPORT BLAKELY, GA US","  55.4"
"18","72025804997","2007-01-01","46.61889","-93.30972","ISEDOR IVERSON AIRPORT, MN US","  19.4"
"19","72026153976","2007-01-01","33.17528","-97.82833","BRIDGEPORT MUNICIPAL AIRPORT, TX US","  33.8"
"20","72026563833","2007-01-01","32.91472","-85.96278","ALEXANDER CITY THOMAS C RUSSELL FIELD AIRPORT, AL US","  41.0"
"21","72026654809","2007-01-01","41.27472","-85.84","WARSAW MUNICIPAL AIRPORT, IN US","  33.8"
"22","72026853882","2007-01-01","30.98333","-84.63333","BAINBRIDGE DECATUR CO INDUSTRIAL AIR PARK AIRPORT, GA US","  57.2"
"23","72026912982","2007-01-01","27.20667","-98.12111","FALFURRIAS BROOKS CO AIRPORT, TX US","  33.8"
"24","72027103044","2007-01-01","32.2125","-101.52139","BIG SPRING MCMAHON WRINKLE AIRPORT, TX US","  26.6"
"25","72027312981","2007-01-01","28.97306","-95.86333","BAY CITY MUNICIPAL AIRPORT, TX US","  33.8"
"26","72027493799","2007-01-01","34.27278","-78.71472","WHITEVILLE COLUMBUS CO MUNICIPAL AIRPORT, NC US","  60.8"
"27","72027504872","2007-01-01","41.73583","-83.65528","LAMBERTVILLE TOLEDO SUBURBAN AIRPORT, MI US","  35.6"
"28","72027612983","2007-01-01","26.44194","-98.12944","EDINBURG INTERNATIONAL AIRPORT, TX US","  39.2"
"29","72027763843","2007-01-01","35.25556","-81.60111","SHELBY MUNICIPAL AIRPORT, NC US","  55.4"
"30","72027803704","2007-01-01","36.68667","-77.48278","EMPORIA GREENSVILLE REGIONAL AIRPORT, VA US","  55.4"
"31","72027903705","2007-01-01","34.60167","-78.57806","ELIZABETHTOWN AIRPORT, NC US","  59.0"
"32","72028203736","2007-01-01","36.01833","-75.67139","KILL DEVIL HILLS FIRST FLIGHT AIRPORT, NC US","  55.4"
"33","72028304927","2007-01-01","43.67667","-92.17972","PRESTONE FILLMORE CO AIRPORT, MN US","  23.0"
"34","72028404877","2007-01-01","42.57444","-84.81139","CHARLOTTE FITCH H BEACH AIRPORT, MI US","  35.6"
"35","72028503734","2007-01-01","37.52111","-76.76472","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  53.6"
"36","72028653977","2007-01-01","32.44444","-97.81694","GRANBURY MUNICIPAL AIRPORT, TX US","  30.2"
"37","72028753967","2007-01-01","33.71417","-96.67361","GRAYSON CO AIRPORT SHERMAN DENISON, TX US","  32.0"
"38","72028803711","2007-01-01","36.36139","-78.52889","HENDERSON OXFORD AIRPORT, NC US","  55.4"
"39","72029153970","2007-01-01","32.74694","-96.53056","MESQUITE METRO AIRPORT, TX US","  32.0"
"40","72029304989","2007-01-01","42.45333","-91.9475","INDEPENDENCE MUNICIPAL AIRPORT, IA US","  26.6"
"41","72029553972","2007-01-01","32.08361","-97.09722","HILLSBORO MUNICIPAL AIRPORT, TX US","  32.0"
"42","72029653945","2007-01-01","30.88556","-94.03472","JASPER CO BELL FIELD AIRPORT, TX US","  32.0"
"43","72029703730","2007-01-01","37.23917","-76.71611","WILLIAMSBURG JAMESTOWN AIRPORT, VA US","  51.8"
"44","72029853971","2007-01-01","31.86944","-95.2175","JACKSONVILLE CHEROKEE CO AIRPORT, TX US","  33.8"
"45","72029953966","2007-01-01","32.45611","-96.9125","MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US","  32.0"
"46","72030163846","2007-01-01","32.64556","-81.59639","SYLVANIA PLANTATION AIRPARK, GA US","  59.0"
"47","72030353973","2007-01-01","30.87194","-96.62222","HEARNE MUNICIPAL AIRPORT, TX US","  33.8"
"48","72030553964","2007-01-01","33.25444","-97.58056","DECATUR MUNICIPAL AIRPORT, TX US","  30.2"
"49","72030653879","2007-01-01","38.95972","-94.37139","LEES SUMMIT MUNICIPAL AIRPORT, MO US","  26.1"
"50","72030763804","2007-01-01","34.86139","-86.55722","HUNTSVILLE MADISON CO EXECUTIVE AIRPORT, AL US","  39.2"
"51","72030804992","2007-01-01","41.19611","-96.11194","MILLARD AIRPORT OMAHA, NE US","  23.0"
"52","72030904947","2007-01-01","40.94667","-91.51111","MOUNT PLEASANT MUNICIPAL AIRPORT, IA US","  32.0"
"53","72031153962","2007-01-01","33.09556","-94.96139","MOUNT PLEASANT AIRPORT, TX US","  32.0"
"54","72031204964","2007-01-01","41.4","-92.94583","PELLA MUNICIPAL AIRPORT, IA US","  26.6"
"55","72031303052","2007-01-01","35.61306","-100.99639","PERRY LEFORS FIELD AIRPORT, TX US","  19.4"
"56","72031493983","2007-01-01","31.77972","-95.70639","PALESTINE MUNICIPAL AIRPORT, TX US","  32.0"
"57","72031503045","2007-01-01","36.41389","-100.74972","PERRYTON OCHILTREE CO AIRPORT, TX US","  21.2"
"58","72031612984","2007-01-01","27.77861","-97.69056","ROBSTOWN NUECES CO AIRPORT, TX US","  35.6"
"59","72031703735","2007-01-01","38.39806","-77.45556","STAFFORD REGIONAL AIRPORT, VA US","  44.6"
"60","72031853965","2007-01-01","33.11","-98.55528","GRAHAM MUNICIPAL AIRPORT, TX US","  30.2"
"61","72031963841","2007-01-01","39.01611","-87.64972","ROBINSON MUNICIPAL AIRPORT, IL US","  33.8"
"62","72032053981","2007-01-01","32.35389","-97.43389","CLEBURNE MUNICIPAL AIRPORT, TX US","  32.0"
"63","72032104893","2007-01-01","45.65361","-84.51917","CHEBOYGAN CO AIRPORT, MI US","  33.8"
"64","72032393947","2007-01-01","30.24333","-98.90972","FREDERICKSBURG GILLESPIE CO AIRPORT, TX US","  33.8"
"65","72032464753","2007-01-01","40.43528","-75.38194","QUAKERTOWN AIRPORT, PA US","  39.2"
"66","72032604981","2007-01-01","42.21861","-92.02583","VINTON VETERANS MEMORIAL AIRPARK AIRPORT, IA US","  26.6"
"67","72032704995","2007-01-01","44.89222","-91.86778","MENOMONIE MUNICIPAL AIRPORT SCORE FIELD, WI US","  26.6"
"68","72032863832","2007-01-01","39.00028","-80.27389","UPSHUR CO REGIONAL AIRPORT BUCKHANNON, WV US","  42.8"
"69","72033063853","2007-01-01","38.60667","-87.72667","MOUNT CARMEL MUNICIPAL AIRPORT, IL US","  35.6"
