"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"1",10,0.5,0,0.01,0,0,0.000528614484193157,0.0154821600206519,-0.731669051666524,15.2188641294238,-42.942561735782,25.8985067814667
"2",35,0.5,0,0.01,0,0,1.96986975252113e-09,1.56187302444477e-07,-0.73213365253851,15.2179511771283,-42.942587898413,25.898212934966
"3",60,0.5,0,0.01,0,0,7.34102136052164e-15,9.49106974015267e-13,-0.732133654269224,15.2179511737279,-42.9425878985105,25.8982129338722
"4",85,0.5,0,0.01,0,0,2.73574405394863e-20,4.90486454233034e-18,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"5",110,0.5,0,0.01,0,0,1.01951692566432e-25,2.33763136336136e-23,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"6",135,0.5,0,0.01,0,0,3.79938598501471e-31,1.06112343279286e-28,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"7",160,0.5,0,0.01,0,0,1.41589938330065e-36,4.66238869843466e-34,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"8",10,0.75,0,0.01,0,0,1.87266527414344e-05,0.000380385555352282,-0.732122678651816,15.2179727556327,-42.9425872984669,25.8982200326651
"9",35,0.75,0,0.01,0,0,1.34721915800839e-13,7.22727239163812e-12,-0.732133654269194,15.217951173728,-42.9425878985105,25.8982129338722
"10",60,0.75,0,0.01,0,0,9.69207384371516e-22,8.43008718442276e-20,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"11",85,0.75,0,0.01,0,0,6.97260685714272e-30,8.38891915191197e-28,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"12",110,0.75,0,0.01,0,0,5.01618612984428e-38,7.70716207923126e-36,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"13",135,0.75,0,0.01,0,0,3.60871103229728e-46,6.74753860585931e-44,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"14",160,0.75,0,0.01,0,0,2.59615472343492e-54,5.7196539435925e-52,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"15",10,1,0,0.01,0,0,5.33476260715105e-07,8.27060168970272e-06,-0.73213341970468,15.2179516352621,-42.9425878861818,25.8982130884418
"16",35,1,0,0.01,0,0,7.40888825942266e-18,3.00083856830376e-16,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"17",60,1,0,0.01,0,0,1.0289422424865e-28,6.7399033646584e-27,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"18",85,1,0,0.01,0,0,1.42898921039428e-39,1.29328129843514e-37,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"19",110,1,0,0.01,0,0,1.98457219375948e-50,2.29224485586732e-48,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"20",135,1,0,0.01,0,0,2.75616272229003e-61,3.87249746887641e-59,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"21",160,1,0,0.01,0,0,3.82774331698696e-72,6.33503857574387e-70,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"22",10,1.25,0,0.01,0,0,1.35579886730348e-08,1.69723586237808e-07,-0.73213364949954,15.2179511831191,-42.9425878982725,25.8982129370642
"23",35,1.25,0,0.01,0,0,3.63490200642579e-22,1.18200999234466e-20,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"24",60,1.25,0,0.01,0,0,9.74518633823536e-36,5.11801062887984e-34,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"25",85,1.25,0,0.01,0,0,2.61268822650629e-49,1.89467827443882e-47,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"26",110,1.25,0,0.01,0,0,7.00462724057151e-63,6.48056523008688e-61,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"27",135,1.25,0,0.01,0,0,1.87794327243418e-76,2.11303069921432e-74,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"28",160,1.25,0,0.01,0,0,5.03477317687115e-90,6.67199811270993e-88,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"29",10,1.5,0,0.01,0,0,3.21673427080021e-10,3.37395900358287e-09,-0.732133654175462,15.2179511739131,-42.9425878985061,25.8982129339352
"30",35,1.5,0,0.01,0,0,1.6648385157529e-26,4.52094190061927e-25,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"31",60,1.5,0,0.01,0,0,8.61646331405672e-43,3.77591556747855e-41,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"32",85,1.5,0,0.01,0,0,4.45949798373735e-59,2.69749553563105e-57,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"33",110,1.5,0,0.01,0,0,2.30803771130958e-75,1.78077660414124e-73,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"34",135,1.5,0,0.01,0,0,1.19453761303478e-91,1.1207403289503e-89,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"35",160,1.5,0,0.01,0,0,6.18239512276058e-108,6.83085240682956e-106,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"36",10,1.75,0,0.01,0,0,7.29577602788059e-12,6.58117297712298e-11,-0.732133654267123,15.2179511737314,-42.9425878985104,25.8982129338727
"37",35,1.75,0,0.01,0,0,7.28933500178909e-31,1.6988698550301e-29,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"38",60,1.75,0,0.01,0,0,7.28289966211373e-50,2.73778425681384e-48,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"39",85,1.75,0,0.01,0,0,7.27647000383396e-69,3.77486293749456e-67,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"40",110,1.75,0,0.01,0,0,7.27004602193422e-88,4.81010832863734e-86,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"41",135,1.75,0,0.01,0,0,7.26362771140324e-107,5.8435228589452e-105,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"42",160,1.75,0,0.01,0,0,7.25721506723375e-126,6.87510895426079e-124,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"43",10,2,0,0.01,0,0,1.60390851419107e-13,1.26863606726343e-12,-0.732133654269212,15.217951173728,-42.9425878985105,25.8982129338722
"44",35,2,0,0.01,0,0,3.09353830289398e-35,6.31380450047338e-34,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"45",60,2,0,0.01,0,0,5.96666153137748e-57,1.96360763845836e-55,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"46",85,2,0,0.01,0,0,1.15081975214964e-78,5.22583262432445e-77,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"47",110,2,0,0.01,0,0,2.21964342199252e-100,1.28538781571412e-98,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"48",135,2,0,0.01,0,0,4.28113691270213e-122,3.0143336682211e-120,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"49",160,2,0,0.01,0,0,8.25724216948693e-144,6.84605087547982e-142,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"50",10,2.25,0,0.01,0,0,3.44779534027303e-15,2.42729731725396e-14,-0.732133654269241,15.2179511737279,-42.9425878985105,25.8982129338721
"51",35,2.25,0,0.01,0,0,1.28373940213157e-39,2.33014804513826e-38,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"52",60,2.25,0,0.01,0,0,4.77982794783481e-64,1.39869072415255e-62,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"53",85,2.25,0,0.01,0,0,1.77970351092803e-88,7.1852818065196e-87,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"54",110,2.25,0,0.01,0,0,6.62648242023956e-113,3.41161715424911e-111,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"55",135,2.25,0,0.01,0,0,2.46728002704476e-137,1.54441117499343e-135,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"56",160,2.25,0,0.01,0,0,9.18657946372992e-162,6.77113466531554e-160,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"57",10,2.5,0,0.01,0,0,7.28967368534274e-17,4.62252085992625e-16,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"58",35,2.5,0,0.01,0,0,5.23965833992203e-44,8.56222544246248e-43,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"59",60,2.5,0,0.01,0,0,3.76615205346094e-71,9.9204928215664e-70,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"60",85,2.5,0,0.01,0,0,2.70702789563935e-98,9.83766161017378e-97,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"61",110,2.5,0,0.01,0,0,1.94575256754057e-125,9.01684901520693e-124,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"62",135,2.5,0,0.01,0,0,1.39856447736993e-152,7.87967874690761e-151,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"63",160,2.5,0,0.01,0,0,1.00525762113386e-179,6.66899872180295e-178,-0.732133654269251,15.2179511737279,-42.9425878985105,25.8982129338721
"64",10,0.5,0.25,0.01,0,0,0.000469992688984768,0.0137653338496279,-0.671392704719138,15.1687251490028,-42.8779767251786,26.2136695737642
"65",35,0.5,0.25,0.01,0,0,1.75141623545841e-09,1.3886690261621e-07,-0.671863649550921,15.1679017758683,-42.8779997699709,26.2134089059591
"66",60,0.5,0.25,0.01,0,0,6.52692086834133e-15,8.43854826455322e-13,-0.671863651304045,15.1679017728032,-42.8779997700567,26.2134089049872
"67",85,0.5,0.25,0.01,0,0,2.43235703579107e-20,4.36093278367906e-18,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"68",110,0.5,0.25,0.01,0,0,9.06455106305876e-26,2.07839595230493e-23,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"69",135,0.5,0.25,0.01,0,0,3.37804379726162e-31,9.43448276712333e-29,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"70",160,0.5,0.25,0.01,0,0,1.25887976324856e-36,4.1453443947265e-34,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"71",10,0.75,0.25,0.01,0,0,1.66494427681183e-05,0.000338194848032941,-0.671852526237646,15.1679212368283,-42.8779992402164,26.2134152012846
"72",35,0.75,0.25,0.01,0,0,1.19778202485269e-13,6.4256232974195e-12,-0.671863651303971,15.1679017728034,-42.8779997700567,26.2134089049873
"73",60,0.75,0.25,0.01,0,0,8.61700322812305e-22,7.49501328981368e-20,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"74",85,0.75,0.25,0.01,0,0,6.19918675458601e-30,7.45840785195967e-28,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"75",110,0.75,0.25,0.01,0,0,4.45977741923227e-38,6.85227030121969e-36,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"76",135,0.75,0.25,0.01,0,0,3.20842320395983e-46,5.99908881199212e-44,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"77",160,0.75,0.25,0.01,0,0,2.30818233468694e-54,5.08521840898307e-52,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"78",10,1,0.25,0.01,0,0,4.74286829681008e-07,7.35303572139421e-06,-0.671863413557234,15.1679021890341,-42.8779997591449,26.2134090420648
"79",35,1,0.25,0.01,0,0,6.58686877378065e-18,2.66790265190016e-16,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"80",60,1,0.25,0.01,0,0,9.14780637761505e-29,5.99211982108169e-27,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"81",85,1,0.25,0.01,0,0,1.27044221459879e-39,1.1497927907229e-37,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"82",110,1,0.25,0.01,0,0,1.76438301600283e-50,2.03792152739064e-48,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"83",135,1,0.25,0.01,0,0,2.45036522825433e-61,3.44284528442406e-59,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"84",160,1,0.25,0.01,0,0,3.40305347386562e-72,5.63216757305008e-70,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"85",10,1.25,0.25,0.01,0,0,1.20533346944843e-08,1.50889039987781e-07,-0.671863646470935,15.1679017812702,-42.8779997698456,26.2134089078194
"86",35,1.25,0.25,0.01,0,0,3.23150369287832e-22,1.0508348383e-20,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
