"","county","year","shareduserfoi","incidence","previousyear","previnf"
"1","Adair-Oklahoma","2007",0,0,0,NA
"2","Adair-Oklahoma","2008",0,0,0,0
"3","Adair-Oklahoma","2009",0.000560460818142333,0,0,0
"4","Adair-Oklahoma","2010",0.000271577335978921,0,0,0.000560460818142333
"5","Adair-Oklahoma","2011",0.00435488058545166,0,0,0.000271577335978921
"6","Adair-Oklahoma","2012",0.00402609498750218,0,0,0.00435488058545166
"7","Adair-Oklahoma","2013",0.00732926258631253,0,0,0.00402609498750218
"8","Adair-Oklahoma","2014",0.0109155825316931,0,0,0.00732926258631253
"9","Adair-Oklahoma","2015",0.0155263276866727,0,0,0.0109155825316931
"10","Adair-Oklahoma","2016",0.0127950446227735,0,0,0.0155263276866727
"11","Adair-Oklahoma","2017",0.0182504278068328,1,0,0.0127950446227735
"13","Adams-Illinois","2007",0,0,0,0.135259567153889
"14","Adams-Illinois","2008",0,0,0,0
"15","Adams-Illinois","2009",0.00134581017974854,0,0,0
"16","Adams-Illinois","2010",0.00222475085540883,0,0,0.00134581017974854
"17","Adams-Illinois","2011",0.020987177199844,0,0,0.00222475085540883
"18","Adams-Illinois","2012",0.0376189557613703,0,0,0.020987177199844
"19","Adams-Illinois","2013",0.0434591703877161,0,0,0.0376189557613703
"20","Adams-Illinois","2014",0.0642138639455781,1,0,0.0434591703877161
"37","Albert-New Brunswick","2007",0,0,0,0.0170037233535143
"38","Albert-New Brunswick","2008",0,0,0,0
"39","Albert-New Brunswick","2009",0.156066256774976,0,0,0
"40","Albert-New Brunswick","2010",0.193672854084773,1,0,0.156066256774976
"49","Alexander-Illinois","2007",0,0,0,0.392126409391491
"50","Alexander-Illinois","2008",0,0,0,0
"51","Alexander-Illinois","2009",0.0112169369073558,0,0,0
"52","Alexander-Illinois","2010",0.0519298064257066,0,0,0.0112169369073558
"53","Alexander-Illinois","2011",0.0372686719278596,0,0,0.0519298064257066
"54","Alexander-Illinois","2012",0.323510649942818,0,0,0.0372686719278596
"55","Alexander-Illinois","2013",0.133575778354323,0,0,0.323510649942818
"56","Alexander-Illinois","2014",0.450984277883581,1,0,0.133575778354323
"61","Alger-Michigan","2007",0,0,0,0.349228909187572
"62","Alger-Michigan","2008",0,0,0,0
