"FIPS","x","y","caves","WNS","tau"
1001,873480.052074,-511615.732059,0,Inf,151.3076923
1003,790181.764479,-721626.874964,0,Inf,119.0666667
1005,997066.580219,-574095.783144,0,Inf,130.4705882
1007,823167.496502,-464271.790971,43,Inf,155.8461538
1009,863485.408589,-350908.059163,90,Inf,151.0714286
1011,965975.100462,-552411.221409,0,Inf,150.1818182
1013,878088.146142,-599812.799464,2,Inf,160.4
1015,933166.973903,-368322.190834,26,Inf,167.3846154
1017,984098.096912,-458163.130154,0,Inf,171.9090909
1019,949197.174434,-320490.430772,10,Inf,175.4166667
1021,863755.367565,-477729.104504,1,Inf,151.3571429
1023,726684.541614,-584951.250977,1,Inf,139
1025,772173.401429,-617058.310575,24,Inf,143.8095238
1027,936022.750354,-423667.000659,0,Inf,177.9230769
1029,963021.629084,-374475.605036,0,Inf,178.5555556
1031,946826.108614,-631666.45062,0,Inf,118.5
1033,742903.261493,-281291.450883,64,Inf,177.3846154
1035,850932.104502,-638043.404062,3,Inf,149.0666667
1037,905748.824527,-463949.829446,0,Inf,157.8181818
1039,904846.807789,-652512.233906,1,Inf,152.7727273
1041,912288.144112,-597433.748517,1,Inf,154.6363636
1043,833870.234744,-336746.419426,4,Inf,170.6666667
1045,982101.633684,-624685.775934,0,Inf,121.75
1047,832587.639364,-539273.511668,0,Inf,148.85
1049,928355.69108,-290609.640002,106,Inf,168.6
1051,917871.76537,-500606.977277,0,Inf,155.0833333
1053,839598.40708,-673150.91151,0,Inf,142.6842105
1055,911626.798497,-339276.807245,102,Inf,159.5555556
1057,759196.170231,-389878.475448,0,Inf,155.5625
1059,742756.635553,-310463.003158,24,Inf,173.7
1061,964565.035813,-664090.285598,0,Inf,137.7272727
1063,747627.773855,-488407.717886,0,Inf,152.9333333
1065,778344.175625,-495263.811672,0,Inf,147.3846154
1067,1015817.881813,-611516.713361,0,Inf,134.75
1069,1014572.936164,-652243.294432,0,Inf,121.7
1071,906415.853345,-256919.507516,1526,Inf,178.9565217
1073,838764.530729,-401420.811253,28,Inf,157.6363636
1075,725901.250436,-386229.547436,0,Inf,157.8
1077,755441.580852,-257872.247488,63,Inf,182.6153846
1079,789822.891415,-297318.241419,106,Inf,169.9285714
1081,992968.285491,-493304.490608,0,Inf,150.6363636
1083,816160.770398,-261929.669047,27,Inf,173.5
1085,875477.38995,-554199.398621,1,Inf,153.6428571
1087,962730.454257,-519883.460904,0,Inf,151.7692308
1089,856489.669861,-264523.513749,460,Inf,176.2
1091,767710.549232,-554102.328884,0,Inf,141.3157895
1093,741700.562545,-344803.273309,2,Inf,177.6666667
1095,884061.081736,-306087.294093,332,Inf,168.5833333
1097,742639.127572,-717995.77191,0,Inf,122.5238095
1099,814564.134757,-625615.735758,11,Inf,147.3
1101,916509.800183,-542250.535475,0,Inf,155
1103,831977.536382,-301014.360717,299,Inf,160.0714286
1105,811082.967408,-505786.202267,1,Inf,153.25
1107,731277.524404,-441884.64094,0,Inf,153.1333333
1109,945386.009381,-585790.061589,1,Inf,146.2857143
1111,973308.180473,-416915.156249,0,Inf,175.6666667
1113,1011918.370483,-526611.580097,0,Inf,127.5
1115,889377.651425,-379066.243636,31,Inf,154.7272727
1117,863471.329426,-431819.146501,9,Inf,152.8461538
1119,726884.759664,-520008.465793,0,Inf,149.2352941
1121,907099.105313,-413688.678287,9,Inf,167.0625
1123,947865.737179,-469011.731216,0,Inf,171.9411765
1125,783261.057569,-435405.632789,2,Inf,150.4583333
1127,799719.036173,-377318.479369,0,Inf,168
1129,737594.369648,-651075.589431,0,Inf,148
1131,817254.646652,-577756.616472,4,Inf,146.7777778
1133,787549.865382,-339050.903482,0,Inf,165.3333333
4001,-1210546.4624,-150293.656545,5,Inf,247.337963
4003,-1290599.57193,-534832.945135,46,Inf,201.7094017
4005,-1405053.87037,-69303.799781,47,Inf,250.4317549
4007,-1356005.53574,-307611.647495,28,Inf,206.0549451
4009,-1286306.34558,-416570.956563,0,Inf,197.2197802
4011,-1222309.86833,-393907.334677,14,Inf,220.1666667
